total_steps,win_rate,seed,experiment
1180000,0.08,seed_3,SAC_HARD_64
1200000,0.12,seed_3,SAC_HARD_64
1220000,0.14,seed_3,SAC_HARD_64
1240000,0.16,seed_3,SAC_HARD_64
1260000,0.18,seed_3,SAC_HARD_64
1280000,0.2,seed_3,SAC_HARD_64
1300000,0.18,seed_3,SAC_HARD_64
1320000,0.12,seed_3,SAC_HARD_64
1340000,0.16,seed_3,SAC_HARD_64
1360000,0.18,seed_3,SAC_HARD_64
1380000,0.18,seed_3,SAC_HARD_64
1400000,0.2,seed_3,SAC_HARD_64
1420000,0.18,seed_3,SAC_HARD_64
1440000,0.28,seed_3,SAC_HARD_64
1460000,0.2,seed_3,SAC_HARD_64
1480000,0.22,seed_3,SAC_HARD_64
1500000,0.22,seed_3,SAC_HARD_64
1520000,0.18,seed_3,SAC_HARD_64
1540000,0.16,seed_3,SAC_HARD_64
1560000,0.16,seed_3,SAC_HARD_64
1580000,0.2,seed_3,SAC_HARD_64
1600000,0.22,seed_3,SAC_HARD_64
1620000,0.18,seed_3,SAC_HARD_64
1640000,0.2,seed_3,SAC_HARD_64
1660000,0.18,seed_3,SAC_HARD_64
1680000,0.2,seed_3,SAC_HARD_64
1700000,0.2,seed_3,SAC_HARD_64
1720000,0.2,seed_3,SAC_HARD_64
1740000,0.24,seed_3,SAC_HARD_64
1760000,0.26,seed_3,SAC_HARD_64
1780000,0.34,seed_3,SAC_HARD_64
1800000,0.26,seed_3,SAC_HARD_64
1820000,0.32,seed_3,SAC_HARD_64
1840000,0.32,seed_3,SAC_HARD_64
1860000,0.36,seed_3,SAC_HARD_64
1880000,0.3,seed_3,SAC_HARD_64
1900000,0.32,seed_3,SAC_HARD_64
1920000,0.36,seed_3,SAC_HARD_64
1940000,0.32,seed_3,SAC_HARD_64
1960000,0.36,seed_3,SAC_HARD_64
1980000,0.32,seed_3,SAC_HARD_64
2000000,0.32,seed_3,SAC_HARD_64
