#{"t_start": 1764859560.1839519, "env_id": "None"}
r,l,t
2.464022,360,9.212132
-3.297021,141,11.866709
-2.301593,199,15.812902
-0.695066,189,19.538155
-3.829523,185,23.417606
-3.108843,144,26.45783
-5.089313,157,29.77187
-10.497622,154,33.018832
-5.793283,143,36.128332
2.232768,93,38.113618
-4.908216,140,41.180467
1.058652,148,44.696185
-10.00742,101,46.94633
-10.801542,74,48.52531
-4.598609,158,52.017594
-0.573095,143,55.397463
-3.636771,157,58.385437
-2.665019,156,61.055733
-4.222404,186,64.584346
-3.01229,163,67.610798
-2.9491,175,70.720225
-4.279277,160,73.458364
-3.456616,138,75.905847
2.314872,161,78.748971
-2.48705,152,81.262923
-6.81347,149,84.014628
-4.938649,167,86.893399
-4.573375,141,89.307679
0.255476,135,91.654524
3.03745,166,94.481447
-3.611644,218,98.195098
-13.843805,137,100.554052
-1.800218,185,103.659506
6.417481,188,106.947923
-10.372638,132,109.182409
-4.410035,156,111.907791
-14.619485,125,114.204428
8.782499,151,116.863649
2.968601,153,119.499247
-6.981383,151,122.033113
-5.559959,190,125.208116
-1.888781,150,127.885383
-4.608919,148,130.354697
-1.282642,146,132.872381
-2.009935,155,135.650883
-3.191302,156,138.285755
-0.909235,144,140.839073
0.766069,58,142.379138
-5.058642,135,145.059129
-10.7822,84,146.549006
24.082289,102,148.508038
-0.96246,203,152.190001
-9.861261,110,154.200646
-3.095532,151,156.917125
-10.778331,122,159.19109
-3.796163,129,161.536604
0.181474,151,164.257291
-4.241517,173,167.432019
-8.616492,103,169.412795
2.828063,136,171.969459
-3.760488,150,174.774829
8.258728,402,182.177293
-3.669106,167,185.192856
-4.905401,75,186.535517
-3.501325,163,189.659525
-5.116843,160,192.535252
16.320346,116,194.665137
-2.691579,170,197.722575
-8.725595,109,199.743728
-9.251677,116,201.916976
-4.3184,145,204.548021
-5.857728,152,207.318212
-10.574644,152,210.173337
-7.113405,130,212.498564
-3.464538,187,215.871493
1.95046,105,217.789437
1.132977,434,225.728602
-4.215334,135,228.184707
-4.097531,166,231.338544
-2.37464,273,236.371675
3.904685,281,241.64957
-7.393042,214,245.521301
-4.61876,127,247.827177
8.40059,412,255.445468
-9.94188,137,257.93053
-14.546098,93,259.610917
-12.268211,148,262.411705
-4.301872,151,265.194084
10.390838,178,268.434783
-10.605,195,272.045088
-7.249485,187,275.448919
5.987051,247,279.945061
12.725759,500,288.985453
-12.151536,106,290.885135
11.457641,238,295.386528
-3.285671,247,299.959996
6.184327,223,304.752289
-4.335873,172,308.05986
-6.038957,197,311.595201
-8.045731,210,315.575875
-5.313766,208,319.333529
-3.140761,233,328.414549
-5.661257,180,332.865526
-15.25019,106,335.9759
8.784414,500,347.472249
-9.381931,144,350.36205
28.715434,500,360.163736
12.277945,500,369.422389
-6.28646,173,372.632479
-0.715878,219,376.652329
7.470903,434,388.678687
-1.137195,207,396.743722
-4.539005,294,409.513475
22.18927,500,425.923299
-8.375111,203,433.374145
-1.304186,236,442.087954
-10.995091,252,450.267607
27.583104,500,467.43029
11.784053,239,475.580791
-0.017063,107,480.876381
-5.173863,171,490.051517
-3.780944,248,498.756025
-3.531206,234,506.547269
26.688442,500,523.040802
0.767629,316,535.197212
18.104169,500,551.933026
-1.725292,322,562.449981
1.017655,393,575.323712
10.119088,178,581.49162
9.99762,245,589.472414
5.567192,186,595.601441
20.83816,185,607.021363
1.674066,77,609.895134
13.547072,247,618.260618
25.339238,500,634.99965
15.735309,500,650.960456
-5.992118,176,656.691185
27.879744,500,673.222073
-0.721022,273,681.783784
21.017597,500,697.92476
15.029176,500,715.910069
0.383275,327,726.58929
-2.21577,158,731.617583
-4.944343,174,737.400864
-1.416165,193,743.658535
4.688945,121,747.724653
-2.462198,211,754.469755
2.76568,324,765.013876
1.752055,88,767.907303
-3.445842,105,771.258642
-4.226092,43,772.622456
-7.349651,171,778.286205
4.875073,191,784.797497
-4.31118,217,791.954839
-0.468108,186,797.89233
16.761643,500,814.025194
22.015145,500,830.235982
-2.738703,205,836.796074
8.809997,471,852.071098
-1.956032,210,858.656867
23.427311,500,875.070403
17.874065,500,891.195989
-0.132558,55,893.172984
18.734164,216,900.2563
4.516528,356,911.618202
1.251588,222,918.854666
3.424104,351,930.216247
-6.156528,183,936.246492
-2.869235,198,942.527812
-2.698448,154,947.520595
-1.833556,164,952.706845
-4.508601,254,960.930015
-1.578914,212,967.812946
7.684902,202,974.248651
