#{"t_start": 1764859560.1519425, "env_id": "None"}
r,l,t
-0.588622,58,3.982056
-2.358424,176,6.989888
-7.526521,285,12.247044
-15.284017,108,14.409762
-8.836857,113,16.60488
-5.293479,166,19.912784
-6.832886,14,20.169598
-3.874015,154,23.449615
-9.670636,103,25.635561
9.138631,181,29.429773
-2.381584,51,30.58003
-5.249986,174,34.218508
-6.877938,132,37.095211
-6.494797,35,37.810406
0.695828,155,41.212476
-4.325963,160,44.996213
23.092774,101,47.218445
-5.184783,145,50.349927
4.097834,150,53.826899
-4.797433,159,57.276822
0.534104,159,60.035809
5.231526,115,62.007091
-9.927842,145,64.809357
-3.119313,144,67.48168
5.714261,183,70.752234
-9.660103,101,72.49014
2.909504,181,75.614974
8.783222,158,78.440377
-5.650095,166,81.206861
-0.432558,88,82.934043
-6.119055,173,85.858047
-4.381899,153,88.541394
-5.694535,138,90.917469
6.128826,155,93.578262
-4.544073,141,95.992241
-8.493433,155,98.667111
-5.315135,156,101.228744
7.299523,188,104.422533
0.6283,167,107.366561
-12.623324,123,109.450601
4.858174,141,111.919739
2.554891,159,114.805601
-4.522401,146,117.373772
-0.458099,169,120.270371
-1.580099,177,123.215992
-5.620648,168,126.058712
-0.437782,152,128.768136
-1.038487,136,131.029292
-4.759325,168,133.923379
-10.181014,92,135.635227
4.598243,157,138.286487
-2.303744,182,141.855069
-0.698342,141,144.812292
-4.283179,158,147.687643
-4.783673,153,150.516431
-4.378536,158,153.372021
-3.323209,182,156.663767
-4.36469,138,159.240882
-11.718268,137,161.735498
8.505509,147,164.389129
8.329235,159,167.303425
4.691299,318,173.341793
-4.653044,164,176.324394
-13.096418,133,178.744303
-4.250096,175,182.02841
-9.808167,79,183.475222
-3.525357,156,186.255584
-3.842729,153,189.175403
-3.163701,167,192.204511
2.905386,196,195.794023
1.823379,188,199.159527
-6.950008,170,202.387684
-4.864373,223,206.440533
2.89672,161,209.345288
-4.504226,148,212.110104
10.892836,191,215.538968
-3.730842,51,216.456775
-10.694248,109,218.447195
1.306575,182,221.827219
-4.799344,226,225.920506
-10.932516,225,229.993195
-8.943798,108,232.16635
-12.871195,96,233.958293
-5.798238,136,236.403685
-2.484105,279,241.64515
-16.608632,221,245.646462
-9.30605,145,248.257382
-6.237926,113,250.291619
-10.157227,307,256.046958
12.697345,414,263.739877
-6.374982,117,265.845871
-9.208946,136,268.298016
-12.794666,133,270.750186
6.825195,176,273.994763
-8.114905,120,276.171211
18.844194,500,285.279954
-9.997041,103,287.108389
-4.055939,178,290.295509
33.165959,500,299.630167
-4.216118,119,302.284791
19.460941,500,311.786454
32.590284,500,321.071505
-4.713713,294,332.303268
-18.042929,143,336.248231
-0.388736,272,342.498044
-1.429072,239,347.869733
-9.967573,109,350.088948
2.136851,428,358.50598
-0.243657,206,362.325154
12.621675,500,371.627384
-7.975106,55,372.664489
-4.017399,190,376.123031
-4.69966,57,377.368435
16.253576,500,391.80396
-8.327009,160,398.456049
-7.571101,228,408.845047
22.366377,500,425.337007
13.771353,500,443.494177
21.15805,500,460.34165
-8.354423,160,465.847951
-7.18142,219,473.21696
-4.195596,195,482.379932
6.874698,151,490.024184
-1.725446,107,494.088133
-3.461065,97,497.259501
-8.808631,148,502.164568
-9.640489,146,507.011114
-5.621936,356,518.684293
2.795526,252,528.323478
-6.739717,221,536.356371
-3.19582,99,539.658787
29.093321,214,546.788555
16.861165,188,552.869652
-3.416343,192,559.20215
21.578718,500,575.517752
-8.522909,214,582.81745
0.293504,434,597.148943
-7.640549,67,602.370337
-2.775995,235,613.086537
-2.755959,218,620.22144
0.584442,260,628.722131
11.64222,500,645.174639
17.780102,500,661.141673
-1.926515,290,670.800107
-4.211382,98,674.101678
-10.089347,139,678.498862
-6.481967,342,689.470123
15.107756,500,705.532021
-8.069894,133,710.001175
-5.702265,131,715.910991
20.849971,500,732.130157
-5.272352,226,739.637579
-2.614494,291,749.121548
-6.850858,167,754.467894
-3.426741,275,763.453516
-0.986114,272,772.206091
27.304478,164,777.633505
-6.243981,173,783.49185
18.270498,178,789.447869
2.548413,104,792.80108
6.654998,189,798.976782
26.572716,500,814.968646
-1.23821,140,819.586361
