#{"t_start": 1764859559.715171, "env_id": "None"}
r,l,t
-5.403101,212,7.073112
-4.63674,201,10.715347
-4.039203,172,14.019545
-1.968355,157,17.087955
2.988589,143,19.92772
-0.349351,150,23.083158
-3.73004,57,24.312041
3.077258,163,27.707152
1.748114,164,31.217679
2.299541,305,37.709305
-2.759319,133,40.650358
-2.048659,154,44.120637
-7.276957,148,47.516588
-6.096653,174,51.255323
-4.936605,137,54.471824
-4.163456,157,57.82542
-2.344236,162,60.630822
-2.388719,143,63.179756
6.770954,152,66.109787
-3.039469,191,69.586639
0.665611,138,72.01357
-5.834355,131,74.25183
-4.35333,136,76.658878
2.921373,164,79.500481
0.38823,185,82.759557
-7.853573,136,85.144886
-2.34498,142,87.603958
-4.448487,162,90.426101
-4.253397,164,93.231404
-5.374116,135,95.495756
-7.081074,132,97.771844
-5.018722,129,100.043146
0.098788,102,101.665515
-6.424887,136,103.996323
-3.517918,139,106.380648
-2.98741,164,109.227525
-3.909294,146,111.675161
2.949937,118,113.926141
-3.453659,155,116.616802
-7.003581,150,119.247699
3.601252,170,122.178043
0.504144,154,124.696918
6.304796,151,127.303225
-12.659722,115,129.334526
-10.819742,70,130.479605
-2.856149,137,132.825723
-5.498474,133,135.203454
-14.878024,149,137.742926
21.871387,204,141.345447
-4.717542,149,144.755397
5.555896,144,147.341343
1.932588,117,149.574118
-3.230622,179,152.827564
-2.069301,139,155.351648
7.893872,159,158.193687
-3.608758,150,161.034838
-4.462611,151,163.764949
-14.216645,126,166.043808
-4.736204,132,168.449957
-3.976208,172,171.685327
5.89276,150,174.547445
-10.742724,70,175.819732
-1.677195,145,178.441232
-2.017203,130,180.889212
-3.114541,182,184.24979
-3.045537,49,185.143043
-4.690226,163,188.064281
-6.783505,195,191.728224
-4.553758,159,194.612665
-1.917565,252,199.19252
-1.388122,150,201.966661
3.00137,169,205.092375
-0.200639,147,207.771217
-12.889854,140,210.383488
4.186923,149,213.084468
2.188058,121,215.254158
-6.253145,160,218.152274
1.095467,171,221.326134
-1.990888,186,224.671246
-0.356527,261,229.438877
-5.003363,204,233.387316
-6.06038,190,236.818648
-4.916263,151,239.56365
-9.091431,131,242.116347
-10.479726,226,246.208635
-0.352927,162,249.113527
-10.936657,120,251.427186
-4.197373,194,255.015396
-4.904527,193,258.484042
0.421471,495,267.630301
5.33254,127,269.942987
-5.162182,222,274.055429
-4.677282,130,276.413131
-6.856151,140,278.938086
7.047259,340,285.147859
5.545897,100,286.93868
-2.968294,260,291.608889
-1.617418,163,294.745036
14.787979,500,304.61359
-1.25351,156,307.610868
-7.303929,101,309.516925
8.672717,197,313.05519
-5.209379,272,318.146216
-9.762949,139,320.712205
