#{"t_start": 1764859560.076289, "env_id": "None"}
r,l,t
-1.661741,171,5.985551
4.61395,244,10.382277
-3.13369,168,13.612703
-1.40887,166,16.853873
-5.724559,91,18.682593
5.078069,163,22.025643
-4.785662,207,26.388844
-5.977819,51,27.493246
-6.468152,184,31.375392
0.745425,155,34.707606
1.046866,136,37.606911
-2.797576,158,41.077704
-6.504967,136,44.216857
-3.028032,172,48.058156
-3.132612,187,52.189368
-4.428834,144,55.614081
-2.875938,174,58.8593
4.786899,183,62.00561
1.772045,154,64.998948
21.130937,190,68.450154
8.979619,179,71.652452
-0.80145,130,73.874135
-10.856893,109,75.753487
0.907978,144,78.332249
-7.518709,195,81.625941
-4.807776,143,84.248016
-4.914617,147,86.784915
-2.159604,152,89.402628
-10.746462,105,91.221035
-2.921524,143,93.685542
-4.815085,147,96.205561
-10.755629,125,98.302761
1.886222,149,100.851063
-4.10975,184,103.949874
-8.127378,126,106.122908
-4.67528,131,108.392828
4.401205,156,111.03001
-4.570625,156,113.935135
-6.10949,156,116.689508
-7.292232,175,119.710136
-3.685186,176,122.670465
-1.727483,143,125.052609
-4.35222,133,127.363643
-5.757547,176,130.374512
-10.707532,75,131.675118
-1.919577,45,132.431306
-3.306094,114,134.463728
-2.614587,145,136.966898
-3.396587,149,139.555171
6.263939,219,144.193015
-5.235377,150,146.90233
-8.867294,126,149.300982
1.860112,177,152.518041
0.093313,59,153.57826
-3.170214,152,156.308892
-6.973886,132,158.806523
-10.795144,99,160.611516
4.783419,376,167.434932
-5.377701,196,171.114012
-4.609506,140,173.802695
-2.378986,222,177.80965
-10.283006,122,180.128347
-9.476125,148,182.876065
7.867724,155,185.624513
-10.960835,104,187.505719
-3.403257,169,190.732962
-5.919548,163,193.68345
-11.600735,172,196.811661
-11.71249,87,198.34626
0.442722,151,201.174922
5.252124,187,204.61879
-10.247696,82,206.117533
4.924492,109,208.103427
16.842538,182,211.500767
6.339856,83,212.98546
-2.141532,275,217.948439
-4.589817,146,220.632531
-3.204905,167,223.638571
8.53838,299,229.113317
-11.122392,119,231.425997
-4.207088,177,234.724596
-5.205018,264,239.494287
-10.007124,101,241.512352
-6.865452,145,244.156649
-13.895392,113,246.186232
-7.911239,142,248.734356
-2.185569,236,253.243275
-6.513919,161,256.122612
-4.778615,183,259.420491
-4.919528,196,263.179497
-4.260929,232,267.366285
-12.394182,122,269.58187
-13.71798,83,271.104795
-4.740326,151,273.915384
-4.597855,147,276.571589
5.100412,142,279.191195
-4.9253,151,281.884451
-0.489007,382,288.815163
24.973185,500,298.074401
24.342818,500,308.133314
-6.381056,203,311.779001
-14.236047,107,313.816461
-7.993563,220,317.877931
23.949011,101,319.699107
-4.543708,53,320.72751
1.938512,300,331.989805
-9.499199,162,336.382808
-1.267005,176,340.502083
0.585576,279,346.731859
5.317209,351,353.997708
0.411957,94,355.7688
-2.79235,187,359.315488
-0.420405,397,366.770869
-6.710771,197,370.384644
8.718955,180,373.70317
11.1108,329,380.027462
-0.225048,80,382.095423
-4.807803,271,391.469542
7.504289,190,399.099535
-0.260116,249,410.236287
-6.814711,162,415.574203
-6.762956,69,417.737198
-9.001057,103,421.250962
16.453825,500,438.936625
15.935664,500,455.899927
-9.865705,121,460.09901
10.842887,190,466.653502
-7.4326,190,473.09077
-9.142034,206,482.763947
-2.656125,194,491.860548
7.06806,169,497.769361
26.338707,500,514.028057
