#{"t_start": 1764859560.088777, "env_id": "None"}
r,l,t
-5.814593,154,5.675539
-0.960743,131,7.975824
-2.535209,46,8.765337
11.964468,217,12.851412
-9.386387,111,15.072927
-11.86924,82,16.699435
-3.616962,136,19.380331
-10.622436,104,21.512586
-11.760205,110,23.902274
-4.549112,143,26.890032
-2.913216,152,30.115253
-1.559218,150,33.246969
11.258009,134,36.171493
-10.146796,113,38.6556
-1.666059,144,41.760654
6.177394,172,45.811937
4.236001,165,49.364369
2.129044,171,53.269935
-3.615614,139,56.428598
-3.227979,162,59.329793
-4.135226,135,61.656011
-4.438914,167,64.853468
-3.003107,149,67.605816
-13.998712,185,70.919484
-0.860671,158,73.63063
-5.446589,43,74.382643
-1.370312,148,77.028733
-1.837091,130,79.240528
-10.305074,113,81.135293
-10.246535,142,83.802609
-9.922002,136,86.095466
-4.679647,218,89.885121
23.986224,101,91.606827
3.329243,151,94.189932
-12.442146,134,96.492656
0.933158,146,99.020655
3.302416,168,101.815478
-4.713688,146,104.272791
-10.82169,99,105.989255
3.19217,160,108.775278
-1.717044,136,111.056105
2.310679,171,114.24308
-11.0,78,115.56251
3.183732,155,118.293167
-3.748781,137,120.637494
-2.486112,150,123.133525
-14.818876,163,125.874575
-2.841644,151,128.59709
-4.870399,148,131.041654
-6.282073,123,133.170915
-1.935508,146,135.793056
-9.683211,115,137.734622
-5.95682,146,140.267139
-3.02765,150,143.670797
-4.362941,135,146.135667
0.717378,154,149.036932
-15.528281,122,151.234421
1.179981,149,153.970695
1.767899,158,156.802965
-4.296466,164,159.861818
-7.328038,138,162.339998
-0.721376,132,164.765185
-15.43295,94,166.477663
-5.851127,157,169.436851
-3.201831,152,172.298553
-6.116351,168,175.3968
23.211618,188,178.827696
1.446534,107,180.838764
-10.59919,86,182.452967
-8.115138,2,182.492256
22.455393,101,184.307753
-2.978028,135,186.732631
-2.200443,179,190.133177
9.256651,141,192.66751
3.508578,204,196.379541
-6.752485,122,198.577213
-9.598778,154,201.424644
-6.114895,141,204.056434
-5.535273,210,207.884854
-9.786334,118,210.095964
5.119897,189,213.486405
-9.940008,183,216.796797
-3.448005,192,220.310266
-2.412902,274,225.29383
-2.568433,281,230.45575
-5.175289,141,233.224121
-7.531177,3,233.279823
-12.422986,127,235.568792
-10.419002,96,237.338446
-2.450162,261,242.229991
-2.513432,160,245.14296
-1.798357,157,247.972986
-4.948112,128,250.264932
-15.299627,112,252.510151
-11.66167,193,255.9712
9.73879,175,259.13603
-5.4303,165,262.229185
-3.410961,186,265.678384
-0.631643,59,266.766563
-4.289007,184,270.127527
-1.061352,277,275.177659
3.348603,383,282.186476
-3.938431,165,285.182834
-4.608225,188,288.550711
4.741918,129,290.859403
-10.049252,136,293.527538
-11.632627,140,296.036927
-3.70984,184,299.439108
-6.806891,177,303.328131
-5.283303,250,308.155035
17.261164,500,317.350729
-5.23339,251,323.080043
-9.199693,235,332.074652
3.31536,376,341.43052
-10.224992,195,345.470178
-6.428559,207,350.195786
-5.85896,47,351.123199
2.317504,463,360.185158
-7.859723,323,366.039891
-5.611275,103,368.068652
8.768181,159,371.013588
-12.55612,300,376.502896
-5.453341,176,380.032765
10.024767,242,387.866757
-2.232417,169,393.378035
-3.160351,132,399.186168
-2.127722,208,408.906203
9.763153,218,416.125462
25.55839,500,433.32739
-1.71387,204,440.879459
25.765498,500,457.752369
-8.911763,131,462.489137
-6.484303,213,469.459499
-5.983374,164,475.057274
22.511545,500,497.354271
20.400143,187,503.506719
-4.588022,218,510.63894
-7.609818,189,516.765098
-9.925743,163,522.386693
-2.215791,198,530.549693
5.284463,114,534.410173
-8.138103,154,539.791383
-5.376771,244,547.855312
20.624368,500,564.167304
-4.214824,184,570.21365
11.886017,500,586.766257
2.701964,150,591.817054
3.899131,124,595.89257
-5.612036,203,608.061694
22.372782,500,625.124801
1.080499,54,626.856472
11.424515,500,643.299175
-4.559969,102,646.538903
-4.277562,171,652.083688
-2.194377,199,658.350205
-9.019134,181,664.552975
-0.525803,70,666.751903
-10.004722,89,669.621241
-8.781989,235,677.264746
