#{"t_start": 1764859560.1044636, "env_id": "None"}
r,l,t
5.531193,194,6.34038
-10.647558,91,7.960138
3.340915,226,12.152243
0.127386,180,15.69047
-4.58111,165,18.970881
-3.62184,143,21.903768
-3.07043,151,25.12286
-1.115439,146,28.17219
4.555333,168,31.743478
-0.247909,54,32.867538
6.961373,168,36.521838
-4.448519,203,40.94159
-3.830798,161,44.700116
-8.914741,161,48.208823
5.548223,86,50.086362
-4.056875,138,53.254248
-5.40215,134,56.31368
-3.608575,155,59.125546
-3.882073,187,62.34524
-0.539867,137,65.039367
-3.596503,132,67.471213
-2.878764,166,70.442313
-3.764338,146,72.957611
-4.80662,138,75.329861
-4.51055,162,78.246974
-5.369344,143,80.670187
-5.484093,173,83.816316
1.078929,130,85.992548
-0.581337,153,88.681999
-4.162127,175,91.678228
-3.824265,169,94.560935
-4.036899,154,97.190155
-4.82453,159,99.944055
-4.807366,169,102.769031
-12.79047,77,104.057325
-3.712188,147,106.617548
-2.074182,143,109.076764
-4.841986,143,111.50348
-6.528933,143,114.192093
-15.99714,100,115.880412
-5.566055,145,118.43679
-10.929705,130,120.669736
1.823333,180,123.659512
1.193225,144,126.106191
-5.025058,171,129.127394
0.588253,157,131.775261
1.960426,140,134.162058
-2.147519,147,136.795466
6.3242,149,139.381768
-13.13381,119,141.73642
4.239813,163,145.17561
-11.136242,122,147.371363
1.288441,138,149.946395
-2.855512,50,150.870016
-13.006042,82,152.362102
-1.433267,140,154.909152
-6.794825,163,157.820167
-2.645766,186,161.283784
-4.8028,208,165.051781
-1.757624,151,167.838554
-4.378826,231,172.2274
-4.247187,201,175.925018
-15.627578,93,177.586769
-10.97478,154,180.482004
1.268748,160,183.456062
10.076813,174,186.55875
-4.380742,142,189.27595
-3.146125,158,192.131316
-5.81886,271,197.078272
-3.840213,142,199.655332
-5.310626,149,202.474498
0.462367,162,205.410587
-5.581036,233,209.632642
-2.716075,134,212.141116
-10.999173,85,213.654041
-3.091952,132,216.042301
1.401614,129,218.378507
-3.00217,44,219.18051
-6.491835,116,221.369247
0.011501,152,224.060158
-5.268883,160,227.006339
4.58486,154,229.810272
32.817218,315,235.779319
4.555256,196,239.311004
-10.998241,72,240.645653
-9.91871,165,243.812256
6.621529,270,248.653124
5.041516,210,252.676111
-1.645828,256,257.293385
-6.677175,219,261.217785
-9.072686,187,264.809185
-4.932687,152,267.567199
5.517184,294,273.020677
7.66346,364,279.605312
-3.369993,184,282.996567
0.141585,304,288.447616
14.269464,500,297.674539
-0.045136,291,303.662465
-2.949741,215,307.868853
-6.941321,173,310.998176
-9.984115,111,313.00419
6.94269,184,316.487482
-6.816764,147,319.143405
25.306279,500,334.706171
-2.978619,224,340.565141
-6.720447,20,341.022932
16.054147,500,351.885619
5.145916,180,355.364321
6.146798,173,358.680938
5.517483,239,363.11404
-0.987452,225,367.333755
19.373964,500,376.531062
16.696412,500,390.678965
-8.018192,167,397.381036
-3.978866,318,410.939667
-7.084546,162,416.233724
2.927469,480,432.726107
15.107078,500,450.065026
-1.142028,284,459.835891
-3.659598,240,468.053536
-4.772678,169,473.788959
-8.011082,1,473.82317
7.609978,208,484.808248
-6.313796,65,487.984784
7.028496,222,496.069443
-4.89837,245,504.134304
-8.936902,199,510.623253
18.25561,500,528.687925
-9.780433,131,533.294712
-2.525101,220,540.860225
10.724372,500,557.39779
-6.537602,41,558.693393
-4.847224,86,561.418905
-5.09298,176,567.32059
22.478542,500,583.828904
-1.19593,308,594.005266
-2.428662,118,597.902258
-2.270997,197,609.996719
12.805614,148,615.240082
14.479885,500,631.984295
-3.259295,189,637.962559
7.783621,349,649.159262
-2.698451,66,651.278084
-2.370596,360,663.231586
21.865941,500,679.308697
-5.939509,248,687.267241
-7.355872,171,692.700979
-5.429996,265,701.185601
-4.389859,192,707.402091
6.231435,169,714.736006
14.301098,208,721.480346
-4.618352,179,727.376448
-6.987433,229,734.752165
22.575977,500,751.159375
-0.343435,241,759.078026
-7.575816,169,764.439713
26.554475,140,769.000234
4.059681,178,774.674168
0.579887,168,780.273048
14.014959,500,796.834793
-3.77043,244,804.764586
-0.323519,91,807.63325
-5.025671,239,815.314502
-8.546671,144,820.081458
16.711931,500,836.161178
18.01335,481,851.763397
6.072436,316,861.877292
24.225697,500,878.133853
-1.792327,247,886.263324
25.548465,140,890.697685
10.814303,253,899.125337
-4.723533,187,905.278792
-0.851298,147,909.839909
1.484453,211,916.698065
27.113312,500,932.843105
-1.211951,258,941.221886
8.773282,294,950.648439
8.207446,176,956.381375
8.995079,151,961.171128
22.103416,194,967.472459
2.948443,237,975.015923
-1.846313,229,982.459301
15.052267,199,989.092698
24.690232,500,1005.11228
-0.420354,178,1010.877074
7.422336,343,1021.961672
-6.483124,48,1023.511446
-0.389854,286,1032.780468
10.929975,157,1037.758341
6.831164,317,1047.970992
6.647725,447,1062.434527
6.118271,129,1066.564078
-0.534916,253,1074.762529
-1.134785,147,1079.424345
-5.40366,100,1082.714645
7.560105,143,1087.267501
30.283884,500,1103.401333
1.282539,157,1108.330528
-4.070373,166,1113.696086
0.738195,212,1120.40081
-1.24314,238,1128.209404
-5.733766,97,1131.245279
2.290185,192,1137.523867
4.110762,87,1140.312309
7.465779,353,1151.545964
32.483179,496,1167.556235
-5.287699,179,1173.215049
-4.898824,168,1178.712769
15.765423,182,1184.498133
0.370009,74,1186.986571
24.935585,115,1190.687191
-0.233874,365,1202.469888
-8.719882,125,1206.599263
8.394558,158,1211.551226
3.194063,86,1214.2586
21.690634,500,1230.410718
-6.438391,171,1235.806807
-0.476053,267,1249.382347
-4.507524,192,1262.559325
9.14135,229,1271.760412
1.32276,236,1283.582872
3.19781,163,1289.466861
21.278001,500,1306.104372
-7.793423,38,1306.85979
-2.871455,178,1310.086892
14.56235,500,1317.48036
9.357142,181,1320.08735
4.453637,93,1321.432378
-0.44093,193,1324.483881
-0.819575,264,1328.993767
1.530676,96,1330.715075
2.419406,242,1335.25457
27.889451,209,1339.214425
1.243888,71,1340.462277
0.168658,52,1341.489906
-1.227692,224,1345.607003
23.933105,101,1347.788971
3.279579,91,1349.49813
6.068087,121,1352.295946
3.62904,162,1355.377044
5.151111,77,1356.912234
0.25934,212,1360.785217
16.57992,216,1365.081511
-1.005178,200,1368.835308
29.319667,235,1372.787077
-2.418986,289,1378.259423
24.613314,110,1380.108503
-3.235734,65,1381.273548
-8.127777,146,1384.065605
4.203168,74,1385.437585
23.867418,500,1394.558336
3.47481,84,1396.380194
2.731122,284,1401.959838
24.169042,101,1403.911707
-0.678016,278,1411.373486
5.414178,376,1418.347184
33.868932,500,1427.219659
2.172539,76,1428.516873
-0.484274,205,1432.112129
3.699669,98,1433.758937
-1.959322,190,1437.410199
21.379084,199,1440.760781
-0.021531,60,1441.76364
-5.176399,24,1442.157567
-2.118582,188,1445.330842
0.640114,123,1447.50575
31.057008,359,1454.06504
1.957735,102,1455.822686
-9.9568,111,1457.732448
-7.908314,4,1457.822113
-4.269137,55,1458.820934
23.396896,101,1460.552788
4.489574,85,1462.077103
-9.991865,104,1463.889934
5.618474,203,1467.75319
-6.246865,27,1468.238948
3.39714,100,1470.179754
28.255611,500,1479.059672
2.52683,217,1482.882685
23.678044,102,1484.568436
0.655917,62,1485.625274
5.215853,130,1487.957708
10.682465,111,1490.036421
-2.844914,94,1491.692542
4.637681,105,1493.514387
-2.370885,235,1497.930625
1.192007,63,1499.067916
10.500305,153,1501.942717
-0.427435,279,1506.937231
3.867579,127,1509.194134
32.31816,500,1518.252757
33.006822,331,1524.184949
-7.673038,41,1524.893982
0.732568,99,1526.860552
8.104397,136,1529.41276
-2.748011,197,1533.197716
24.102403,101,1535.048869
23.862256,101,1536.749143
7.929021,156,1539.454078
2.007133,203,1543.348921
-5.342812,163,1546.346367
3.521741,240,1550.796943
-0.64365,220,1555.180869
5.276893,132,1557.758521
-1.845739,263,1562.514582
1.433875,191,1566.010229
4.171562,76,1567.439895
