#{"t_start": 1764519864.3194535, "env_id": "None"}
r,l,t
-5.758065,192,6.146229
-4.682087,163,9.447826
-5.007606,146,12.701963
-1.720973,149,16.246489
-10.646223,83,18.361709
-13.369066,138,21.823805
-1.708773,186,26.675859
-4.781693,195,31.84071
-5.290739,145,35.620163
-11.612117,73,37.740702
-3.079339,141,40.868675
-1.454738,146,44.278217
-10.779138,89,46.319157
-1.783637,152,50.226068
-2.924282,147,53.950243
-3.681538,134,57.127638
-9.712186,128,60.177486
-10.968406,76,61.948913
-5.684715,154,65.200068
-10.782421,100,66.666301
4.319126,100,68.191203
-9.546535,73,69.348821
-4.761954,139,71.406079
-15.228006,114,73.177749
3.694826,140,75.756981
-0.172789,132,78.817444
-9.393443,109,81.737373
-10.694843,92,84.050558
-12.930029,135,87.55092
-5.221201,186,92.579087
-7.436915,13,92.942343
-5.155578,160,97.363552
-9.407902,136,100.209671
-8.434498,92,101.920149
-3.171358,175,105.312004
-9.063831,124,107.67515
1.363754,136,110.439786
-2.887341,140,113.314768
0.719859,179,116.97281
2.716152,150,120.125553
4.033296,122,122.505439
-3.942903,154,125.607261
2.277908,149,128.590527
-4.617394,141,131.498484
-10.665839,110,133.794889
-7.816702,14,134.102793
-5.325191,143,136.948706
0.433466,171,140.32034
10.261696,177,143.777735
4.729566,150,146.531897
-10.730004,89,148.070357
-9.823515,135,150.415283
-9.103517,90,151.977297
-6.456051,159,154.726413
-3.294889,150,157.371385
-5.563115,114,159.212546
-13.425586,108,160.927975
-5.915201,166,163.783244
5.83997,163,166.411027
-4.55847,147,168.808206
-2.679934,153,171.87565
-3.95161,146,174.792283
-3.73917,180,177.926975
-6.421842,191,181.234222
-5.065876,142,183.688335
-10.694049,151,186.406258
-8.206626,385,193.124911
-2.501416,158,195.980415
-3.659564,217,199.908924
-3.334131,147,202.587196
-10.021388,103,204.641734
1.26928,165,207.87299
4.279383,125,210.306935
-6.326345,142,213.007514
-8.839819,150,215.991862
-7.94283,134,218.529093
-13.939341,104,220.551585
-13.921883,110,222.645149
-0.303628,177,226.259852
-11.265022,119,228.588774
-4.687202,205,233.003871
-3.680864,157,237.63786
-7.42246,148,241.253059
-9.083713,201,245.948058
-3.930597,195,250.385965
7.810433,188,254.234596
-0.269559,302,260.168595
-8.895997,169,263.257985
-5.981567,159,266.151501
-8.809637,143,268.876631
-9.616719,161,271.685649
-6.490622,300,277.064944
-5.669028,244,281.345161
-7.254494,141,283.700858
-5.308524,253,288.340946
-9.965541,101,290.248523
-9.935398,126,292.46665
-6.515007,139,294.934976
-6.183084,251,299.517586
-5.619469,253,304.205599
-10.845408,157,307.275743
-8.166278,204,311.120623
-0.570505,191,314.59359
7.779586,165,317.801743
4.627503,159,321.034894
-4.922042,227,325.506143
0.580943,264,330.752407
0.261866,455,340.149427
13.915031,500,351.012315
-3.50817,158,354.667485
-6.041501,62,355.973554
14.338111,500,366.289241
-4.953375,151,369.303352
4.393887,462,377.899392
-7.77021,50,378.773872
-4.270414,191,382.205509
13.146669,500,390.647111
-4.318624,154,393.41511
-4.442365,270,398.135524
14.104332,145,400.857756
18.364973,500,410.430654
