#{"t_start": 1764519864.2246108, "env_id": "None"}
r,l,t
-8.910503,155,5.43238
-9.078416,161,8.702154
-3.56094,134,11.594158
-1.690795,53,12.847808
-5.751906,136,16.054771
-15.331989,117,19.000854
-1.747335,184,23.792901
-3.938436,221,29.577989
-7.875494,176,34.203518
-9.928146,109,37.069317
-4.715404,133,40.286685
-9.881509,114,42.864515
-9.765067,115,45.571356
4.369861,183,50.05832
2.339139,156,54.092095
3.732264,171,58.08069
-3.324696,151,61.737783
-2.387448,134,64.740524
-4.272062,130,66.695633
-5.614245,166,69.261271
-4.692102,149,71.485913
-7.228845,142,73.665665
-3.165335,185,77.533858
-4.31358,176,81.990772
-4.879078,165,86.135904
-9.341837,134,89.704635
-3.882783,135,93.474371
-3.248511,146,97.479371
-5.071273,136,100.334038
-3.957766,146,103.076219
-10.520407,109,105.206798
-7.158261,34,105.835604
-9.93323,170,109.059103
-15.1,85,110.970699
-2.766155,152,113.995305
-3.444578,131,116.69086
-14.899724,96,118.630546
-9.869977,118,121.18133
3.513038,198,125.02318
-3.870118,193,128.922437
-4.861369,178,132.659449
-1.410839,151,135.723451
-3.745632,166,138.960877
-2.240757,144,141.772129
-10.093782,85,143.503763
-4.421391,137,146.060972
2.591558,133,148.345743
-3.033828,189,151.631101
-6.76106,160,154.415917
-10.931794,103,156.262451
-1.599642,176,159.160066
-10.755672,108,160.862009
-5.855255,157,163.622535
-3.296972,139,165.825959
-2.594077,136,168.053763
-9.93868,102,169.826759
-3.897216,174,173.403305
-6.31411,141,176.046118
-5.471252,296,181.135026
-6.265577,143,183.570469
-10.099265,151,186.328061
-3.438957,176,189.444641
-14.878279,93,191.004707
-5.659278,153,193.690373
-5.753357,240,198.013871
-1.012322,87,199.607162
-10.804182,175,202.833557
-5.463621,175,206.253695
-5.300672,148,209.197955
1.079254,159,212.224627
-7.979839,2,212.274638
-4.829219,182,215.848114
-3.130417,185,219.451308
-0.410373,151,222.320899
0.259989,179,225.918606
6.913089,157,229.033552
16.001413,500,241.543952
-3.870896,298,248.501809
-2.536354,198,252.812101
-7.827362,192,256.480905
-11.508043,142,259.323918
0.96516,164,262.4169
-5.821222,148,265.099021
-9.995994,118,267.323725
-7.722202,143,269.882241
-3.02465,411,277.2143
-6.743265,197,280.722036
-4.574499,154,283.297122
-4.067486,179,286.364762
-6.582949,191,290.03382
1.932355,296,295.308799
-4.19328,187,298.725638
-9.409046,232,302.987766
-7.877346,166,306.268578
-11.894588,111,308.280461
1.113177,192,311.968934
-7.994786,144,314.557915
-2.059464,267,319.790958
-3.643407,181,323.451766
-10.036576,101,325.415921
-12.439946,204,329.40314
0.602957,206,333.562092
-8.942066,241,338.595705
3.114623,424,347.709695
7.844026,173,351.559091
-7.791845,164,355.311259
-11.896688,133,358.200021
-8.323502,241,363.214497
-6.408525,152,366.176047
-7.602135,149,369.174153
-2.493192,212,373.239057
-2.982561,174,376.391667
2.176184,380,383.206759
-5.484072,189,386.423166
-11.140779,264,390.790469
19.516325,500,399.701968
6.311128,181,403.673509
-4.926673,209,407.412187
-1.287649,327,413.449055
-8.045228,143,416.021441
-8.150521,164,419.043314
-3.187712,224,423.174918
-7.207045,112,425.371917
-4.383965,251,430.199529
-2.63244,161,433.264533
-9.10015,73,434.847606
-9.7218,157,438.028365
-11.927886,173,441.540724
-3.398647,292,447.520742
-0.25509,367,455.147528
-5.166665,191,459.380702
19.826461,189,463.672981
-6.939789,157,467.149644
-4.300679,239,472.862516
-1.67496,235,478.513663
-9.35961,129,481.437007
-9.672455,158,484.719716
-5.196461,244,489.927953
4.364119,100,491.967882
-1.995837,97,493.847594
6.973447,167,497.08146
-8.247148,219,501.31898
-9.458518,162,504.197591
-1.899256,189,507.620081
-0.950955,224,511.489634
-9.755116,127,513.741865
2.272354,261,518.259179
-3.198416,154,520.893505
-4.816801,208,524.870687
0.412316,282,532.085463
-7.928524,151,536.271834
-4.42041,236,542.748593
-6.023708,49,544.031659
-6.948119,148,547.549643
-5.725002,355,554.537446
2.162849,107,556.633453
-2.74989,218,561.074246
-4.721229,238,565.793556
-4.150142,214,570.230905
18.548933,500,580.626561
0.192801,340,588.217009
-5.71091,212,593.145998
0.04703,246,598.696408
-7.839012,180,603.214038
-9.847084,125,606.119545
12.790132,203,610.408368
-8.847162,188,614.49301
20.395182,500,624.268278
0.617811,282,629.310407
-1.151251,229,633.380703
-4.97234,187,636.684751
-6.064874,209,640.194916
-0.296661,216,643.912426
20.633594,500,653.174391
-5.479342,211,656.988499
24.53679,500,665.95833
1.668067,219,669.950811
-3.908316,217,673.935381
-0.289512,252,678.564845
-8.470961,148,681.338765
-12.386262,245,686.012342
6.401103,293,691.654047
4.180071,382,699.386281
-9.807637,131,702.03871
-8.215202,195,706.174376
4.011378,364,714.02657
-0.814818,199,718.307915
5.594236,143,721.414963
4.792363,140,724.568883
-1.320976,221,729.923469
32.143226,336,737.969245
-16.715392,177,742.575533
6.763305,207,748.086799
6.765685,170,752.618764
7.484951,263,759.739518
-7.710844,143,763.589368
-6.373097,23,764.335351
-7.470337,135,768.273587
-0.269905,267,776.588508
-4.934542,179,782.313095
10.613286,261,791.022729
-10.040077,101,794.393915
-8.149767,147,799.552832
4.447059,222,808.320263
4.586487,264,817.86499
4.254937,251,825.878248
1.53052,239,832.864734
-8.595251,171,837.476229
9.101698,240,843.44417
2.609885,188,847.702639
7.541107,154,850.930617
6.655106,484,860.938088
-1.177693,259,866.052646
10.896635,137,868.71719
-9.922207,121,871.120931
-1.22986,50,872.082014
1.199003,268,877.529332
1.340197,62,878.814244
-1.258793,212,883.218578
-1.723002,206,887.971547
3.31889,276,894.464091
-0.11256,235,900.238167
2.446505,329,908.44178
0.562947,232,914.657959
-9.440191,180,919.988787
-6.538922,205,926.079705
-2.201667,191,931.865538
23.95115,103,935.251207
15.355573,367,947.435481
23.23535,500,964.1415
8.217082,169,968.792908
4.056396,237,974.921636
-1.749603,236,980.611749
-7.473114,179,985.205498
-3.711896,181,989.018965
1.948903,66,990.468642
1.751552,225,995.047276
2.111324,234,999.661268
-0.651282,215,1003.743579
0.173251,108,1005.717338
13.589914,178,1009.103813
-1.608747,176,1012.659286
1.634682,67,1013.928771
2.282247,186,1017.593744
2.884331,82,1019.482792
14.518824,220,1024.198317
-0.265151,293,1030.118891
2.903563,91,1032.042676
2.628447,65,1033.493238
-1.059619,66,1034.90667
4.084571,101,1037.103703
-6.711379,168,1040.807799
-10.683681,103,1043.313192
-3.884381,223,1048.781049
24.790811,500,1061.690872
-1.407414,163,1066.648083
-7.771392,12,1067.014364
0.883069,218,1074.113836
4.270777,251,1081.842043
8.898969,245,1089.519653
1.199479,62,1091.788825
28.568791,168,1097.553095
-7.558525,9,1097.829655
26.919482,148,1102.843158
-10.94741,201,1110.107216
3.215489,329,1119.717318
4.593999,74,1121.443117
-6.41576,48,1123.023481
2.6231,279,1130.73511
-9.990708,40,1131.527968
5.044606,160,1134.822231
2.840499,263,1140.198632
25.427015,130,1142.772057
-8.522006,127,1145.103991
9.418098,420,1153.227405
1.446015,111,1155.274115
