#{"t_start": 1764519864.0790014, "env_id": "None"}
r,l,t
-6.649708,154,5.545982
-7.482892,16,5.848819
-7.038665,140,8.718744
1.109009,58,9.964392
-10.674523,78,11.66221
-4.754864,30,12.366088
-11.777296,120,15.225965
4.775673,250,21.417613
-2.534924,206,26.782407
0.049587,158,30.948301
-6.047061,149,34.884033
-4.007486,143,38.650474
-4.919894,142,41.893216
-3.370555,163,45.699963
-6.420106,170,49.806827
-10.170413,110,52.874615
-10.983113,75,54.591089
-13.534114,75,56.362417
-3.200571,150,59.957823
-3.566556,150,63.672849
-13.99934,73,65.012656
-5.568233,136,67.061794
-4.894939,157,69.456401
-3.319158,153,71.739049
-10.077695,130,73.759279
1.845575,138,76.510288
-5.307082,159,80.473374
-1.816052,142,83.995249
1.837376,130,87.322475
-4.389704,146,91.311433
-2.799359,157,95.615376
-3.502344,168,99.590657
1.963398,157,102.653039
-5.110366,140,105.368414
-14.157442,113,107.54651
-5.510571,140,110.272624
4.290725,188,114.156919
-8.94564,146,117.162726
-6.950349,134,119.974928
-6.166943,141,122.768891
-0.386536,135,125.498162
-5.310453,158,128.670938
-12.950688,86,130.453373
-6.869666,143,133.394787
-10.657072,113,135.695542
-4.520454,177,139.161485
-1.323048,172,142.642312
3.693684,195,146.292098
0.893278,138,148.683409
0.577313,151,151.281111
-12.158369,73,152.59897
-2.047955,86,154.037083
-12.892717,86,155.546644
1.258382,165,158.404612
-10.833642,68,159.472971
-3.099088,171,162.318279
-6.555343,140,164.618046
-6.252185,152,167.032838
-8.676201,99,168.70208
10.286194,298,174.629592
-2.084605,159,177.433564
-5.837994,177,180.504341
-7.870879,104,182.246845
-2.191885,150,184.95363
-3.657226,134,187.374587
16.365397,368,193.710947
-2.982328,156,196.611421
-6.342783,126,198.793774
-15.399757,121,201.070857
-1.96664,163,203.998882
-2.741305,162,207.26581
-12.708146,164,210.497867
-5.387864,274,215.809678
-4.39745,149,218.680028
-5.971174,189,222.331991
-12.896445,160,225.473367
-6.67708,100,227.479214
-1.856066,177,231.18467
-10.009452,106,233.53314
-4.621337,270,240.924868
-10.025979,101,243.242098
-6.34272,191,247.757678
-6.192649,148,251.020274
-2.850756,139,253.920145
-8.622334,133,256.52398
-3.161167,46,257.504827
1.028155,126,259.907418
-10.043242,101,261.857147
-2.85492,119,263.959061
3.494956,161,266.882198
-10.773056,116,269.131091
-9.518218,151,271.77657
12.539626,200,275.368613
-7.411496,197,278.956913
-5.660777,167,281.786338
-7.509224,146,284.200867
10.909489,500,293.372387
-8.04406,197,296.892582
-5.357475,153,299.680499
-4.196876,183,303.04486
-3.950068,212,307.155126
0.468274,120,309.476405
-7.070326,231,313.701446
-9.164234,236,318.188748
-0.788119,161,321.494231
-5.248509,287,327.098815
-10.674169,152,330.146916
-4.93753,201,334.198125
-4.600293,175,337.846634
-10.048676,101,339.874909
-3.956419,194,344.166631
-9.542388,183,348.068333
-7.528031,153,351.471123
0.859,122,354.371802
-8.632899,147,357.58801
-4.529255,144,360.546638
-3.808307,168,364.055552
-5.982423,118,366.321656
-5.780651,241,371.009582
8.799858,189,374.595973
-8.651951,201,378.269358
-8.307314,135,380.585059
-6.540317,111,382.685686
3.293482,118,384.687744
16.36389,500,393.213728
6.621008,402,400.411818
2.157931,207,404.892278
0.29728,375,411.539814
-1.796248,176,414.829506
0.044622,304,420.467982
6.496614,163,423.439041
6.415123,182,426.913628
-4.292589,214,431.101935
6.426608,205,435.179293
0.877065,156,438.368023
11.181321,194,442.253088
-4.440315,284,448.110467
-4.105159,187,452.008907
-3.967701,92,453.923884
-1.584942,292,460.306984
1.16406,114,462.930696
0.371097,116,465.450722
0.08812,101,467.692768
-6.449192,35,468.487486
-9.991518,179,472.88372
-8.183617,154,476.610419
-9.647118,151,480.132043
5.694782,270,485.923601
-7.654975,162,489.365559
18.445696,500,499.196406
-8.542532,206,503.0773
-4.348031,195,506.471099
-4.715544,216,510.321062
2.928051,220,514.16903
8.902288,194,517.483831
-8.428599,252,521.934294
-6.07929,259,527.200359
11.267136,179,532.129477
-1.323821,284,540.032337
17.718363,500,551.50816
-10.173099,104,553.58988
-9.960877,107,555.719294
-8.597421,101,557.74056
-8.095159,115,560.100324
-3.110117,122,562.576296
-10.041732,101,564.553191
-15.469162,117,566.842676
14.710962,224,571.505036
14.954774,500,582.014232
-7.006758,162,585.698918
-1.608321,217,590.421848
-1.480027,193,594.962739
-1.834258,253,600.906201
24.067506,500,612.277065
-7.805654,99,614.341025
-10.044192,101,616.406839
-9.764403,127,618.850706
-3.856167,204,622.886999
-4.221441,407,630.267406
-4.284884,242,634.530012
3.1364,90,636.079551
-9.435721,219,639.803709
-6.194467,168,642.665419
7.886898,196,646.122148
14.859386,500,655.527937
-10.51678,205,659.119452
1.155786,255,663.612375
-9.065314,34,664.266348
-2.841082,209,668.055431
-10.174763,155,670.924226
-9.428971,130,673.36933
-6.715983,221,677.454582
-1.045924,186,680.817039
1.428483,347,687.458851
3.08585,111,689.584761
-7.18098,35,690.246495
-1.482513,247,695.147275
3.462152,224,699.698945
-4.590927,182,703.416364
3.833467,167,707.013636
-5.850436,192,710.94674
-3.026238,225,715.923891
-0.800686,222,720.813117
-0.501504,222,725.82093
0.538434,330,733.683891
-5.309369,156,737.443173
-3.358307,104,740.089507
-15.191128,167,744.523605
-7.596105,65,746.166788
-0.713351,247,752.861898
4.807636,240,759.406517
-3.607559,233,765.921447
6.609366,183,771.329802
15.872611,210,777.871454
-11.451914,227,785.255574
4.792014,107,788.819373
2.02077,289,798.902921
-5.196578,252,808.62991
-3.134239,52,810.502567
2.371465,78,813.396016
-1.099126,102,817.043062
0.259002,285,826.243906
-2.760964,236,833.154538
2.036952,90,835.691137
-5.359756,176,840.006298
-2.266332,206,845.115619
-7.338275,15,845.455203
1.763936,272,851.279278
-8.207775,64,852.690797
-1.978951,205,856.876212
0.666001,83,858.631047
-2.423311,217,863.034
1.204392,228,867.484568
-1.261652,129,869.971004
-1.625432,228,874.571673
7.446175,200,878.554022
-5.671353,234,883.460716
4.622959,104,885.875439
-2.182535,181,890.081147
-0.821178,251,896.077599
5.081404,139,899.515167
1.763347,251,905.484
-2.174555,214,911.238516
0.441965,215,917.514696
-9.998571,103,920.23394
-1.615877,191,925.970259
-0.171615,255,933.817318
10.282162,429,948.331396
1.283521,105,951.943245
-2.181797,166,957.799512
-1.106833,107,961.256519
6.300778,212,967.2284
4.29479,482,979.307329
0.420915,71,981.166467
0.465595,270,987.731884
-4.461396,264,993.091983
8.272148,221,997.608237
3.166051,179,1001.056163
-10.014354,314,1006.897493
-5.158903,148,1009.729666
-1.233661,165,1013.086433
10.210513,203,1017.036693
0.567543,255,1022.695892
24.000601,500,1032.951359
-8.123565,185,1036.937725
10.860237,319,1044.19863
-8.781027,158,1048.137285
-1.557459,59,1049.618121
8.807423,126,1052.752353
0.649715,235,1058.957788
-8.090808,34,1059.801548
6.069772,289,1068.619353
-1.349281,199,1074.664813
-0.161031,207,1080.975854
-1.57356,306,1091.019154
2.426051,240,1098.971261
-2.752734,240,1107.810708
2.578929,101,1111.12587
20.977169,500,1125.427242
-9.515143,147,1129.703329
-9.635851,158,1133.017128
-3.726368,199,1137.004262
-6.799414,65,1138.435257
2.025785,237,1143.119695
11.043268,184,1146.540481
-8.73433,164,1149.747926
4.304718,213,1153.815429
-2.714838,306,1159.709378
2.949287,178,1163.545188
17.633109,437,1173.691723
-8.896765,47,1174.667829
1.934742,215,1179.633212
2.171459,81,1181.425186
-6.680526,48,1182.460262
17.050594,184,1186.418957
-6.533977,176,1190.851705
-8.062865,189,1195.416083
-3.611578,202,1200.525391
25.524404,123,1203.831683
-7.547776,202,1209.334018
-1.02353,186,1214.472263
3.358256,78,1216.671603
-13.677308,226,1223.467096
-6.645,32,1224.439284
-4.900602,354,1245.849572
-8.427862,176,1255.816325
26.914478,500,1274.57115
-0.737104,191,1280.942288
-5.610107,31,1282.304914
12.86593,117,1286.375597
0.517242,89,1288.758394
-9.978799,113,1292.473388
0.556058,236,1299.893493
-0.017641,216,1305.815822
2.322648,206,1311.103672
3.709362,120,1313.984318
-7.606176,25,1314.650382
-1.478242,239,1320.802565
15.568412,190,1325.737185
-7.870036,148,1330.563161
5.26479,125,1335.667424
-1.431513,141,1342.596325
26.676432,173,1348.856446
2.347604,76,1351.285373
-9.895858,135,1355.082446
-2.67824,189,1360.981884
-10.944502,102,1364.005144
3.473792,252,1372.565988
-8.439073,128,1377.022569
0.754823,343,1387.315696
0.191701,114,1390.571831
2.197292,213,1396.002891
-6.064809,42,1396.973351
2.088448,72,1398.838008
3.327243,76,1400.420084
2.554329,65,1401.995376
-4.086982,177,1406.121479
-3.573165,184,1409.827059
-3.241339,200,1413.914738
4.496724,313,1419.934931
