#{"t_start": 1764519864.3644655, "env_id": "None"}
r,l,t
-3.462233,147,5.144995
-5.342854,129,7.741374
1.71149,196,11.975073
-13.178806,111,14.631573
6.357699,156,18.438739
-4.85802,145,22.229287
-5.475362,129,25.534001
-4.402291,299,33.412565
3.978981,151,37.504664
-4.299194,43,38.439017
-8.977202,153,41.950956
-13.940548,147,45.397503
-4.606429,154,49.072244
-8.544277,147,53.10377
-4.840877,165,56.943545
25.751078,500,67.156508
-10.303208,101,68.645771
0.353449,163,71.180538
-7.87418,2,71.209532
-6.19661,137,73.305778
-10.468446,76,74.616436
-1.435886,158,78.202868
-4.593201,148,82.006225
-3.240765,160,86.015072
3.312132,143,89.890898
-4.731822,27,90.646712
-14.939254,128,94.207888
-15.0478,81,96.399334
-9.395282,137,99.43772
-10.784492,92,101.295902
-4.912145,134,103.848395
1.166155,147,106.647452
-9.867259,131,109.138854
-9.549877,160,112.480552
-4.716986,144,115.505142
-3.82762,153,118.564204
-9.966407,124,121.231534
-3.847486,132,123.719536
-4.547497,126,126.387054
-8.5714,111,128.545515
-5.33898,169,132.081989
-7.841597,124,134.591732
-15.688601,108,136.778648
-10.24481,92,138.532456
4.707106,176,142.094031
-9.609647,86,143.711724
-2.686939,145,146.396382
-2.308087,140,148.86183
-3.185531,131,151.094165
2.246668,137,153.474053
-5.398378,246,157.726054
-3.538817,180,160.568115
-4.543196,183,163.738232
-5.068139,136,165.943667
-9.474677,104,167.637862
-2.026061,47,168.378103
-10.904455,79,169.831969
-10.004797,128,172.439876
-4.500236,133,175.103994
-2.855459,171,178.053983
-5.045699,140,180.46885
-4.29803,154,183.061282
-10.888431,89,184.734366
3.729415,181,187.990479
-10.012828,101,189.676959
-2.209598,147,192.222795
-7.732118,178,195.463681
-11.556453,280,200.546606
-9.776359,128,202.830241
-8.206408,140,205.563211
-10.054411,78,207.160819
-12.044629,104,209.200136
-4.570744,185,212.727926
-10.30195,132,215.330634
-6.454785,185,218.918568
-9.554454,142,221.620065
-6.424321,132,224.182195
-9.979255,181,227.856465
-4.369014,45,228.761162
-0.659256,145,231.846246
-8.733633,253,238.866877
3.698449,215,243.800604
-2.515722,165,247.721267
-8.857549,134,250.655809
20.089347,500,260.672731
-12.535734,130,263.008913
-5.218424,189,266.424776
-3.338411,236,270.748927
-5.467472,275,275.681304
-5.659316,199,279.253685
-3.42966,253,283.526325
6.820264,159,286.276453
-7.978473,133,288.927848
-2.386211,420,296.445496
17.214546,500,305.795078
-4.311833,227,310.148298
-7.618977,152,312.896014
-6.094446,175,316.226216
9.140247,500,326.102816
-13.969575,125,328.568389
-7.822085,142,331.481566
-0.041835,399,339.564916
-4.767426,200,344.001217
-5.067235,474,354.526949
-6.534532,52,355.613927
-4.088709,221,360.321713
-5.922439,173,363.93713
-5.806788,155,367.01276
8.043378,165,370.139805
-3.933158,169,373.412333
-6.729629,152,376.176284
-9.907745,250,380.56216
-2.5665,162,383.515523
-1.942517,329,389.078104
-12.841408,138,391.345312
0.674697,360,397.74096
-2.986649,227,402.106532
-6.397677,193,406.091115
-2.510027,231,410.147738
-2.536338,274,415.302404
-5.795125,194,418.849462
-1.295041,225,422.995543
-14.178624,265,428.175612
-0.339381,217,432.286424
-3.398724,218,436.761284
6.366869,183,440.358125
5.603819,117,442.76418
-6.37753,80,444.448864
-7.427359,131,447.143803
1.927871,214,451.638444
-10.624298,57,452.837103
-4.304681,196,457.075704
-9.309528,124,459.75648
17.506415,500,471.158146
-6.362061,166,475.133034
-8.440295,123,478.197753
-3.531726,128,481.10611
-13.587792,162,484.501335
20.354199,500,494.737138
-9.967626,115,496.974127
4.819285,112,499.13598
3.15658,203,502.965816
-0.672948,245,507.318187
-7.97527,121,509.397475
-3.573997,203,513.013601
16.653129,142,515.353471
-8.509784,145,517.953142
-5.501129,201,521.444802
-7.664755,170,524.730833
-7.830055,143,528.178597
-7.857148,185,533.311388
-5.44357,163,537.710685
-5.478385,206,543.36759
-7.592495,188,547.730348
-1.117452,219,552.057697
0.858178,99,554.038085
-4.346376,210,558.17929
-8.955381,197,562.255828
13.168094,500,572.377045
23.896047,102,574.447197
7.510228,189,578.400387
0.420957,162,581.958807
2.106419,132,584.923818
-4.529518,180,588.873284
1.083038,209,593.722064
-6.481179,186,597.956419
-7.187769,175,602.346488
12.875714,500,613.338825
-7.666909,187,617.159286
-6.103545,165,620.292575
14.496836,109,622.528523
-3.785322,156,625.436297
-0.227581,179,628.638736
31.006771,500,637.407151
10.198293,267,641.857171
-0.712074,212,645.635638
-0.485471,256,650.331082
-3.691523,189,654.080048
-4.248163,203,657.591031
-6.645886,29,658.093297
9.106545,351,664.409191
12.90598,213,668.25999
-11.183824,242,672.756583
-7.99915,195,676.37973
-6.088477,214,680.245534
-5.030704,316,686.282737
-2.545337,47,687.195387
2.157614,172,690.501961
2.652148,199,694.432411
-1.55881,98,696.441967
-2.446657,204,700.611721
7.098888,176,704.241543
-3.635587,230,709.030829
14.04442,202,713.570511
20.073751,500,724.484545
-9.066763,192,729.11126
-6.211732,180,733.309811
1.358713,202,738.25282
-1.359586,217,743.959569
-1.442235,205,749.462696
16.397207,187,754.505763
-3.431453,191,759.663669
-11.65267,205,765.437942
-6.480244,177,770.675401
-4.899246,198,776.778301
3.426317,309,786.81226
-9.918311,146,791.910866
1.603543,73,794.296583
-1.241234,201,801.720598
-5.369202,290,812.75646
-10.034767,130,817.33834
-7.960454,157,822.525498
9.067532,487,836.652272
-5.033562,189,841.355786
-8.04518,157,845.12374
1.427766,195,849.392051
-8.242529,52,850.441208
-1.903909,175,854.254004
-8.677081,149,857.256255
-7.542717,41,858.055996
-9.312448,160,861.251212
-0.433332,123,863.783114
-5.751239,45,864.637657
25.267919,119,866.958077
-8.669235,173,870.294728
-0.596127,195,874.267208
-3.192788,182,877.868452
-0.079705,261,883.342741
