#{"t_start": 1764519864.4019942, "env_id": "None"}
r,l,t
-4.992337,167,5.459556
-5.015817,144,8.430626
-2.396175,153,11.733463
-5.134959,373,20.856394
-2.619163,154,24.919392
0.300943,108,27.792098
-6.073801,145,31.570216
-4.12036,143,35.28398
5.686771,127,38.559182
-4.494145,142,41.835815
-5.258529,123,44.658302
-10.523909,155,48.381721
-5.092511,147,52.427377
-5.61724,124,55.327735
-3.462524,135,58.487854
0.829109,170,62.567796
-5.994718,145,65.361063
-3.879283,150,67.61106
-15.747835,106,69.28228
-2.154397,136,71.289532
-10.960585,89,72.671526
-4.261534,151,75.340145
5.213142,167,79.344708
-2.078833,140,82.890393
0.723865,172,87.33233
-4.875345,143,91.209336
-4.109364,154,95.415922
-3.609564,175,99.482725
23.785111,101,101.52141
-10.286468,90,103.20341
-0.842813,100,105.149952
6.209665,156,108.134208
-2.506807,179,111.809328
0.693575,106,113.967454
-4.195193,138,116.793736
4.777206,151,119.968006
-10.481129,89,121.733617
2.572757,141,124.490968
-3.823403,147,127.510758
-11.999728,103,129.599441
-14.269913,84,131.290426
-4.474619,151,134.446671
-6.816868,146,137.353495
3.593414,204,141.36019
-2.918505,194,145.087751
-10.315833,101,146.897981
1.681802,153,149.571083
-4.997148,42,150.285742
-10.023117,150,152.972635
2.964207,174,155.954615
-10.028996,110,157.813058
-0.569892,176,160.593116
0.039988,130,162.934265
3.658142,148,165.296332
-3.67401,158,167.854377
-8.843451,126,170.203115
-4.032887,139,172.897339
-9.21234,99,174.937956
-3.089873,147,177.463687
-10.903811,83,178.891786
3.409086,158,181.621286
-5.459555,166,184.573124
-5.015244,154,187.341161
-0.575744,55,188.296047
-10.940124,70,189.490813
-6.882912,118,191.494104
-4.213426,140,194.042856
-10.137218,87,195.582674
-3.955017,179,198.759613
-2.680474,162,201.744405
1.525012,154,204.732268
-6.74261,180,208.287422
-4.756346,254,213.187021
-6.033046,146,216.090566
6.635605,261,221.054192
-0.000339,143,223.790212
-9.388565,184,227.529304
-7.075534,145,230.573119
2.402195,206,236.010266
-1.313592,242,241.990781
-11.763838,112,244.652354
-6.326679,148,248.088844
-7.974977,202,252.526203
-9.964905,106,254.556694
-0.461436,139,257.332881
-7.786363,131,259.78648
