#{"t_start": 1764519864.2216012, "env_id": "None"}
r,l,t
-9.392284,150,5.340858
-2.599997,182,9.022347
-3.289026,150,12.35605
2.364711,121,15.241892
6.330285,165,19.334918
5.647959,167,23.685337
-3.116525,170,28.12385
-5.544006,130,31.501498
-2.097612,179,36.212489
-15.325668,88,38.507874
-4.555616,114,41.10157
-13.572083,81,42.975044
-5.181246,102,45.366314
-3.917393,157,49.11158
-5.877346,160,53.419676
9.242722,114,56.038774
-5.970676,32,56.847334
-10.701053,105,59.303687
6.689029,144,62.778195
-5.086928,146,65.579453
-2.784953,144,67.725448
-7.429907,135,69.858928
-5.567312,185,72.608503
-7.385364,167,75.536539
5.010181,172,79.692014
-10.114584,103,82.302687
-5.894766,174,86.673691
-4.558643,164,91.168833
-9.840055,141,95.052619
-3.821332,144,98.699034
-4.252415,145,101.545278
-2.944712,128,103.991259
-4.909305,151,106.868835
-4.109131,148,109.712928
3.304847,152,112.874987
-9.949607,108,115.181277
2.731772,175,118.691065
-10.379733,139,121.637953
-9.006272,99,123.487308
-10.810582,112,125.795062
-2.414469,160,128.995385
1.174398,154,132.244379
-10.890547,110,134.469546
-3.62585,142,137.339812
0.395623,174,140.764271
-14.934208,79,142.363196
-5.872004,137,144.870667
-4.464293,151,147.614719
-10.946233,112,149.603704
-3.174193,174,152.659419
-14.603984,86,154.07954
9.880709,160,156.890935
3.571169,146,159.271372
-8.667394,146,161.671665
-9.896942,81,163.134658
-5.880847,142,165.399209
-0.998045,157,167.930256
-4.228501,170,171.184711
-3.192797,46,172.036509
-3.968942,137,174.794613
-10.720283,106,176.690838
-5.442804,138,179.006204
-10.039111,101,180.766757
-4.077168,150,183.299667
-5.835428,151,186.059355
-1.578715,148,188.713174
-4.609878,145,191.19375
-4.254063,146,193.728627
-0.978201,194,197.303667
-12.168937,127,199.531656
-12.652974,101,201.428132
-3.858169,145,204.054355
5.168043,161,207.353679
-7.962596,109,209.485055
-9.884563,119,211.738339
-9.890881,110,213.865251
-11.153594,130,216.486526
-8.677666,143,219.22624
-10.99857,90,220.901014
-7.721827,242,225.727316
-4.423506,234,230.47295
-1.259684,228,236.431733
-8.187391,191,241.164344
-9.099093,141,244.462639
-9.786921,141,247.749614
-6.503365,308,254.303449
-6.878083,299,260.175919
2.029808,205,263.924684
0.125132,190,267.515774
-2.747327,169,270.533527
-5.084339,170,273.506266
-2.422946,191,276.937108
-5.4297,226,280.969081
-10.690052,76,282.223739
-7.726544,188,285.400842
-3.255126,280,290.748988
-5.044731,171,293.746379
-1.719868,277,298.728648
-0.124877,343,305.16169
-1.714598,219,309.389802
-3.286382,228,313.557875
-6.931191,24,313.975959
-0.580826,151,316.916709
-5.353492,105,318.924695
-6.366505,148,321.993384
-2.818392,228,326.427016
-2.474681,173,329.876775
16.200591,500,340.14439
-5.828653,151,343.452308
-3.662303,192,347.572186
1.342911,378,356.001843
-6.115625,102,358.265553
-4.124565,204,362.549712
-8.615524,128,365.052607
4.663249,500,374.678461
-1.294828,221,378.666657
-4.948561,180,381.876315
-9.658083,112,383.844918
-6.605487,193,387.174671
-9.728561,143,389.550758
24.741784,106,391.260116
-7.390802,147,393.920064
-1.26982,202,397.461309
-4.13927,165,400.534284
13.721432,145,403.806035
-10.581338,154,406.581048
9.030547,236,410.746551
-8.03002,145,413.547588
-5.202971,221,417.570043
8.653141,252,422.244472
-6.82998,177,425.614969
4.521625,140,428.358479
8.820102,186,431.907373
-8.997077,187,435.67739
8.614121,107,437.853826
-8.552431,202,441.902303
-4.205024,241,446.813832
-4.759925,180,450.70567
-5.205031,244,455.748694
1.11679,241,461.112803
-8.048296,158,464.66947
-6.792778,203,469.253911
-7.421268,179,473.601728
-2.814372,240,479.326317
-7.951342,127,482.19678
6.549192,487,492.37899
-5.206624,238,496.957331
12.743349,181,500.376114
-4.153225,236,504.76571
15.058611,500,513.539847
-5.04014,223,517.341232
-3.659641,255,521.836215
-4.501859,154,524.840702
2.799949,459,536.934454
-7.54329,24,537.58685
-5.863677,228,543.810084
0.744136,228,548.837098
-7.984887,167,552.200561
-6.736042,150,555.209615
9.885322,158,558.296619
-0.180959,201,562.456283
-8.061905,158,565.525016
-7.105634,197,569.558781
3.885538,140,572.47992
-8.143517,139,575.303996
-0.683414,218,579.895215
-5.096635,216,584.698205
-1.962228,282,590.983399
23.053851,500,602.889457
-2.411487,339,610.36238
-1.800742,225,615.206689
13.375523,209,619.277948
0.880251,225,623.683638
-6.840312,226,627.8535
-9.976497,118,629.884774
-0.932315,391,636.792269
-1.768434,234,640.729536
-3.274435,185,643.914436
-0.297265,272,648.810825
-9.447688,171,652.039525
-8.378315,154,655.022135
-10.751572,109,656.898837
0.943771,247,661.255136
0.695009,282,666.430113
-13.385109,114,668.451852
11.28448,194,672.034588
-5.016119,191,675.622946
-7.843101,253,680.221374
-1.163404,230,684.512745
-5.197007,219,688.798034
-1.826597,231,693.276142
-5.475536,227,697.943309
-4.893047,24,698.414898
