#{"t_start": 1764519864.226613, "env_id": "None"}
r,l,t
-10.723116,154,5.39837
-10.296909,153,8.530614
-0.510251,160,11.968385
-9.709464,161,15.816963
-4.442182,158,19.761539
-5.518229,140,23.471677
-7.306017,143,27.13742
-9.801012,106,29.936476
0.514762,141,33.634942
-10.610498,173,38.274141
-3.975837,140,41.38812
-7.948652,8,41.584661
-5.67356,139,44.777161
-15.309107,119,47.51243
-6.632305,145,51.578633
-4.138108,146,54.97765
-1.52693,132,58.078688
-6.313618,166,62.079758
-13.250677,90,64.276906
2.547588,300,68.805144
5.835552,148,71.101646
2.957111,145,73.334099
-10.951376,105,75.195395
-10.695387,88,77.165546
-2.157891,157,81.146135
0.502614,154,85.017413
-10.060267,86,87.244426
-8.605921,143,91.118837
-2.813993,142,95.048615
-9.68059,130,98.41047
0.896612,193,102.176881
-3.920636,152,105.11528
2.479152,164,108.23359
-14.955476,127,110.90818
-5.035273,179,114.559915
-6.794938,133,117.235688
-2.199601,167,120.70811
-3.115021,134,123.317081
-4.230341,126,125.886291
-4.662071,160,129.087903
-5.339747,137,131.94479
-15.601793,129,134.596052
2.55494,134,137.294794
-5.688615,138,139.949085
-10.341889,164,143.265228
-10.731257,80,144.701577
4.453512,164,147.65424
-6.319029,130,149.920991
-2.51145,164,152.847445
-4.33621,155,155.478548
-4.163924,142,157.914905
-5.194968,193,161.000526
-10.742127,87,162.517238
2.449069,154,165.039127
-3.478566,147,167.416454
-5.797068,176,170.701046
-2.133502,158,173.808118
3.086665,141,176.469039
5.7352,181,179.562292
-13.533462,125,181.687149
-8.970113,161,184.527925
-14.678456,148,187.227975
-12.447381,87,188.723157
1.79202,158,191.424775
2.236889,151,194.129715
-10.7188,130,196.502319
-6.311911,184,199.749686
4.375254,144,202.398766
6.551882,247,207.244148
-2.291235,255,212.168097
2.462751,147,215.035619
-4.738749,405,222.852522
-0.879055,59,223.982106
-9.982184,101,226.12165
-4.029032,153,229.185588
5.991944,143,232.226715
-7.787189,17,232.586984
-11.704535,125,236.325172
-9.239851,247,242.380223
-6.074129,269,248.679339
-4.125071,168,252.408501
7.257654,187,255.961278
-6.923929,145,258.883313
