#{"t_start": 1764605362.0700493, "env_id": "None"}
r,l,t
-8.271791,195,6.487776
-13.160682,101,8.781474
3.774926,188,13.175917
-6.300051,123,16.254583
-15.056415,128,19.52986
-4.3958,154,23.742606
-7.412168,13,24.094774
-2.386725,221,30.528694
-6.579873,169,35.555867
-6.298426,129,42.539654
-0.706841,147,48.533197
-3.755054,164,54.848351
-3.842195,147,60.336662
-2.564043,140,66.569051
-4.977753,130,70.899858
27.714532,185,75.407542
-6.394876,140,79.39375
-2.437463,151,85.543208
-9.754642,169,90.867544
-5.510093,144,94.685345
-3.512426,134,98.432005
2.719201,187,103.274777
-4.396969,177,107.943145
-3.677952,131,111.258987
-4.69175,167,115.781067
-3.821707,135,119.806995
-9.908926,89,121.848841
-5.261841,136,126.890746
-3.081211,166,135.043896
3.607194,163,142.764836
-13.705711,135,148.782892
-1.403276,146,155.318568
-10.027567,101,160.160886
-3.769792,176,168.089576
-4.597833,43,169.922502
-15.602026,127,175.682164
-3.603423,180,185.145216
-3.571793,156,193.706032
-10.516696,70,196.561073
-14.799629,112,200.317839
-15.393772,131,205.531605
-8.164552,128,209.353177
-12.210377,140,214.633462
-3.559623,60,216.504219
-10.847285,102,221.912555
-6.182109,124,228.723229
-14.521274,181,234.856609
-9.623746,68,236.635441
-3.319979,200,242.124338
-7.449775,127,247.098673
-12.673329,106,250.066994
-7.520654,134,254.390929
-7.794472,119,258.267003
-6.526792,137,261.793473
-4.452582,152,266.489703
-4.479516,156,271.796485
-1.322321,161,276.815745
-2.128551,149,283.409668
0.723269,142,289.01736
-3.716879,149,294.328321
-4.985297,131,298.480352
-10.571564,81,301.98475
-3.9547,148,307.226243
-7.740162,119,310.828085
-10.154862,103,313.880097
5.205768,167,318.279412
-1.84434,148,322.698323
-10.10783,166,328.109297
-3.956315,177,333.416593
-8.099451,166,338.415996
5.841438,220,344.651946
-5.275822,136,348.291131
-3.685714,172,353.121925
-2.504457,264,359.3137
-13.937514,139,363.417825
-9.394573,127,366.853563
-10.78967,87,369.226851
-2.331375,183,375.063415
-9.583733,121,378.321666
13.356447,238,384.992776
-4.404169,146,389.105136
4.116329,137,393.252597
-8.778224,122,396.417834
-5.680476,177,403.088707
-4.073663,151,408.336352
-3.501864,178,413.563691
-10.037936,101,416.183719
-4.35287,164,421.15294
8.026543,439,435.275667
-9.859058,114,440.303849
-10.541553,107,447.417652
-6.895805,109,454.535188
14.941586,461,484.111014
-0.039388,219,497.936058
-5.230237,165,508.398264
-7.117144,140,517.400845
4.711971,121,525.868208
-9.974708,115,532.769606
9.633074,372,558.056462
-4.828491,130,566.245649
12.439682,500,598.061756
-6.762402,72,603.148392
-11.819948,248,616.284799
-4.669354,220,629.398082
-6.843103,193,640.903132
-1.131584,255,661.400228
-7.342389,53,665.887769
-7.755839,233,680.469113
-15.415513,107,686.214004
-7.077143,152,695.215841
1.427527,124,701.492522
-3.305576,223,708.247322
-0.424219,335,718.931006
-3.900154,365,729.686359
-3.442521,292,738.361046
3.641833,349,749.320982
-5.47665,213,756.461823
-3.803986,131,761.456015
9.140177,201,769.878428
-5.564614,207,777.327119
-1.008339,166,783.52288
-3.509517,202,791.408705
-5.615985,264,810.871825
14.05305,279,839.839977
8.233547,236,848.75966
-0.727085,101,851.977926
-3.732747,262,860.605078
-9.656126,113,864.180401
7.628647,215,870.297688
-10.822884,79,873.088852
-5.116144,179,878.482083
1.948649,105,882.247472
5.642666,403,893.44028
0.042797,261,900.703907
2.156385,207,906.564878
26.971878,195,912.102226
-6.213098,168,918.029647
2.67853,148,922.594811
15.778452,500,938.943144
14.78917,500,958.245349
4.842981,96,962.839728
-3.55268,238,971.964345
-6.041607,89,975.019237
5.231365,183,981.245519
-0.322458,123,985.030018
4.923046,148,989.304813
-1.140181,308,997.950092
0.758817,168,1002.282751
-3.127388,225,1008.021854
0.877353,313,1015.940628
-1.107536,225,1022.24446
0.888859,285,1030.076509
-3.086073,171,1034.877995
4.573289,173,1039.849138
4.597768,292,1048.52573
0.872479,298,1058.323129
6.029448,122,1062.496723
2.375248,263,1071.676983
-1.412464,199,1078.866568
-5.50783,186,1086.325772
-7.973062,203,1094.855097
-5.575929,172,1100.70361
5.608595,135,1105.155391
1.892977,216,1111.657415
23.609396,500,1125.577724
7.466725,241,1131.659718
1.414672,147,1135.527314
-6.980588,215,1141.165213
-0.711172,243,1147.639737
-0.511839,253,1154.593511
-8.204464,131,1158.244114
2.363069,320,1177.977597
-0.740699,220,1197.600989
1.539761,253,1219.883629
-0.690354,190,1227.864443
-5.258393,119,1232.497307
0.33627,272,1241.672944
-7.016518,79,1244.129413
-3.875294,131,1247.988835
6.955594,142,1252.067893
2.713208,92,1254.599692
16.798293,192,1259.696262
6.119136,395,1270.722579
1.838014,114,1273.545429
16.621174,176,1278.054163
1.243907,119,1281.239598
26.173343,500,1294.693255
-9.834128,135,1298.432637
6.868165,359,1309.038792
2.76554,114,1312.447528
1.036212,118,1316.089456
-7.781075,239,1323.89697
-0.695255,213,1330.955938
-8.801709,166,1337.475149
6.74097,452,1354.894393
1.932272,312,1367.763874
7.862404,136,1372.931851
12.711001,405,1387.203223
9.212952,331,1396.996911
8.251778,375,1407.148432
16.039781,387,1417.062477
1.657318,147,1421.015165
30.897439,500,1434.588247
9.90755,296,1443.130801
33.686201,472,1457.473285
-7.226237,28,1458.422875
9.256289,497,1475.333431
-7.156846,51,1477.094638
8.38264,354,1490.64975
4.104439,202,1498.71982
12.45477,333,1510.965553
34.336519,361,1521.839826
-4.443284,106,1524.838564
-0.772756,278,1532.409333
1.749055,415,1543.196053
2.467446,72,1545.111468
-10.324515,166,1549.567189
0.863557,336,1558.742438
29.266608,239,1565.94563
35.34932,444,1579.321883
23.446528,500,1595.831012
-2.037506,346,1608.156034
-13.339062,213,1616.354819
18.821145,188,1624.272715
30.642433,284,1635.575729
2.383587,281,1644.861985
3.317259,143,1649.25567
-0.168084,56,1650.848354
26.269689,500,1664.67589
-0.821272,58,1666.179528
-0.070399,56,1667.736258
18.449263,209,1672.978912
-0.337139,307,1681.159651
-7.931565,142,1685.06834
31.439406,435,1696.979329
1.4377,308,1705.978089
30.592062,500,1721.61121
0.635322,76,1724.065145
24.736708,108,1727.552964
18.743725,207,1734.867867
1.309008,70,1737.452126
34.013318,366,1751.363174
1.929856,77,1754.407626
33.403235,425,1771.646539
4.598394,360,1783.4504
-7.344696,378,1794.197575
-5.706252,193,1799.278976
-9.562619,160,1803.679327
1.39787,91,1805.98901
7.345366,143,1809.590216
27.799453,210,1815.067356
4.775057,94,1817.556762
-3.898989,277,1825.029062
27.218974,500,1839.127977
30.832418,402,1851.309365
-1.210631,215,1858.133746
36.232226,391,1871.804077
5.097832,406,1887.116603
5.154314,149,1893.02299
-9.921169,115,1898.178698
27.097121,299,1909.631722
1.360017,59,1911.710259
1.512016,221,1918.437718
7.266877,366,1929.014999
25.136558,118,1932.325599
0.718102,248,1938.858047
11.931035,191,1943.766096
-1.698721,211,1949.488704
0.428339,79,1951.57307
25.454277,360,1961.848935
-11.918007,232,1968.511231
1.853978,61,1970.438044
5.206337,101,1973.449393
25.242989,500,1989.782803
0.181176,60,1991.848266
6.193139,145,1996.71748
10.432468,157,2002.25592
25.144225,264,2012.543073
3.735434,173,2020.051987
8.768751,191,2027.878266
7.248741,144,2033.429775
-7.590992,27,2034.503991
24.092568,101,2038.005927
11.356733,299,2047.625936
29.015194,374,2058.114242
2.968713,159,2062.825438
10.357704,337,2071.941346
2.61695,239,2078.441618
0.281272,261,2085.546363
9.118097,271,2093.022024
-9.933857,109,2096.171145
8.191489,162,2100.811108
-4.592386,193,2106.786266
23.943017,101,2109.833404
34.567962,362,2121.258974
10.40823,235,2129.403577
-8.145823,164,2135.330146
26.863743,291,2147.026479
-8.708837,131,2152.35117
-0.741751,278,2163.743603
1.504525,59,2166.220237
-2.612373,342,2178.434749
33.007761,345,2188.950613
12.286816,165,2193.746735
4.224548,114,2196.868171
27.475398,200,2202.384951
-4.51952,196,2207.489679
-5.48433,310,2215.726733
24.376073,103,2218.409882
7.233542,301,2227.198335
3.955721,127,2231.148015
2.090646,306,2244.424953
4.715685,320,2255.309385
38.096971,481,2272.08822
27.262276,228,2280.733872
12.46919,340,2294.867187
3.457326,380,2310.753807
13.298974,500,2327.208192
-9.946584,137,2331.075475
24.676125,124,2334.487274
30.251798,283,2342.170961
-6.561155,32,2343.039627
-8.209246,152,2347.308417
28.3673,219,2353.112995
-9.965173,116,2356.265533
-5.858828,177,2361.137099
5.903253,313,2370.002157
24.31302,101,2372.948546
24.141563,101,2375.986502
28.67552,327,2385.868
5.96138,142,2390.290428
-6.059125,37,2391.484565
8.547671,286,2400.856437
15.230468,246,2409.492199
2.136115,64,2411.906439
-1.319847,242,2420.664639
16.104883,123,2425.488878
7.385253,318,2438.421158
