#{"t_start": 1764605362.1384814, "env_id": "None"}
r,l,t
25.849391,121,4.893837
13.140913,204,9.350896
-6.016817,144,12.748541
-4.31834,142,16.299678
-8.502861,153,20.237995
-3.884635,144,24.197899
-6.175206,145,28.360631
-10.609289,67,30.379682
-5.74706,165,35.25837
-4.311332,162,43.5984
-5.237342,139,49.297753
-2.529187,148,54.830932
-10.05,101,58.506727
-3.070729,44,60.269234
1.052149,148,66.969048
15.031242,202,72.883483
6.453612,163,76.848957
-14.618914,103,80.078749
-3.483228,158,86.252838
-6.319987,195,92.25505
0.643535,138,95.924038
-5.67788,137,99.700891
-6.897821,146,103.460057
1.050581,156,107.571969
-5.52403,123,110.744423
5.472012,191,115.926244
-7.714729,148,120.152856
-5.054282,151,124.03367
-4.675116,169,131.865966
-12.872083,82,136.511022
-9.829321,111,141.754489
-2.762748,146,148.158203
-4.493479,154,155.087102
-3.301703,150,162.065956
13.928265,107,166.980941
-1.451422,146,173.435603
-8.427043,129,179.579869
-10.299,94,184.843302
-5.53703,135,192.019308
-3.487382,182,199.2776
-13.775396,120,204.125168
-6.018522,147,208.627185
-13.803405,123,213.490858
2.049504,161,219.881617
-2.217809,146,227.806035
-5.218435,136,233.064791
-7.28402,21,233.719994
-3.557146,173,238.314804
-3.62079,169,243.710238
-2.602948,170,249.081729
-2.112913,165,254.494565
-13.334581,132,258.62687
-2.379566,186,263.408184
-4.237331,139,268.559602
-4.579353,133,272.673103
-4.206057,152,277.523598
-2.546179,168,284.725781
-12.161523,131,290.037669
1.199225,157,295.388715
10.332165,151,301.21523
-3.775081,169,307.026278
-1.704595,195,312.868486
-13.341054,137,316.695477
-2.686987,179,321.736816
-4.451716,147,326.499315
-3.449105,154,331.373841
-15.675536,101,334.212978
-12.509282,66,336.199983
-10.01651,154,341.238632
-9.78048,272,348.222699
-9.189213,125,351.863747
-11.895943,289,358.694132
-10.844282,119,362.152293
8.507739,210,367.946267
-9.485037,149,372.436813
-5.904425,118,376.11435
-7.01662,159,380.370174
-6.70443,135,384.244239
-0.294677,178,389.230645
-5.009041,243,396.061777
-4.030916,150,401.416328
-4.201362,167,407.461673
-8.415391,177,412.941628
-14.95,125,416.144804
-1.353581,50,417.772046
-1.203106,296,426.311665
-8.287829,116,429.485998
-7.775856,196,438.242045
-0.767067,146,446.210096
-9.158049,248,461.102063
-10.753012,82,464.873454
-10.746888,87,472.423877
-9.606465,198,485.644084
-5.34937,146,495.035985
-8.733667,117,502.35613
-7.13473,366,526.419982
-7.198374,188,539.072387
-10.03155,103,546.198068
-3.905288,260,562.24207
-7.777636,102,569.095076
-8.980986,125,578.352736
-9.554043,286,595.705908
-10.973775,94,601.521757
-6.926604,327,619.200395
-3.414911,213,632.371715
9.660523,320,651.389317
-9.620875,146,667.037623
-4.514797,290,684.132241
25.628302,500,707.133842
-2.860251,162,712.317345
-11.431133,86,715.042258
-1.920845,261,723.134603
-3.577008,334,732.91382
-5.105944,311,742.317297
-2.049376,314,752.589912
22.870425,500,771.444737
-0.532634,339,784.142878
1.172365,179,790.974188
3.273815,183,800.540481
-8.209167,193,829.4665
12.263254,500,851.553401
-2.322871,202,857.935821
11.270646,500,873.577971
16.217918,500,888.805486
1.167636,328,897.867817
-0.671913,187,903.148695
-6.085089,167,907.842827
19.69315,500,923.675554
-2.340601,192,929.771754
-5.471133,106,933.267469
-6.596825,24,934.112945
-0.968897,242,942.805902
6.60911,296,953.943209
-6.930373,188,962.358194
24.36916,500,980.456158
1.222398,133,984.627531
-0.943003,146,988.901793
-2.846434,215,994.983801
0.754537,272,1002.157807
1.036605,137,1005.655207
-0.077986,131,1008.962578
-8.405424,174,1013.334966
-4.026598,148,1017.190566
5.196491,182,1022.372944
2.703438,269,1029.77951
-5.691308,231,1036.193583
3.859175,147,1040.49386
-2.773774,208,1046.581883
7.957315,157,1051.752968
-2.24644,253,1060.059297
-6.679851,199,1066.816278
0.45365,152,1072.253687
2.569677,313,1084.109962
-1.336159,189,1091.658953
-2.722988,268,1101.612502
0.983969,166,1106.943299
-9.200291,155,1111.547984
-2.147568,279,1119.74879
-1.462721,188,1124.64565
-0.874153,362,1133.857816
-8.261819,192,1138.762627
1.279907,75,1140.872746
10.44246,384,1151.142532
2.892655,249,1158.117137
13.126291,403,1183.680181
-0.89733,270,1210.74453
1.3009,131,1220.191516
6.508502,362,1234.509627
7.325771,241,1242.634915
24.20861,500,1256.866492
1.237841,115,1259.882398
-5.425271,209,1266.182858
-5.337415,72,1268.033181
0.575086,314,1275.906933
27.668183,180,1280.700694
2.477971,128,1283.997493
-9.976019,142,1287.789667
4.754857,126,1291.157298
-1.108636,277,1298.870827
4.731346,135,1302.671546
22.173512,500,1317.941313
17.557096,178,1323.898062
-7.095525,42,1325.330462
16.119867,123,1329.284408
5.089813,253,1339.163833
5.107949,167,1345.401085
13.860873,368,1359.696598
30.297866,339,1373.461585
0.506683,120,1377.942103
36.303076,489,1393.826618
-1.792121,222,1399.991964
2.853671,79,1402.11737
28.638875,500,1415.175823
14.114501,114,1418.098328
-1.605522,259,1425.070663
-9.678007,184,1430.082397
32.626261,500,1444.346842
-11.739723,183,1449.834301
-0.784891,239,1457.12328
7.299119,133,1461.471235
-1.498039,54,1463.231863
13.50431,446,1478.807049
-9.768641,124,1483.359219
0.642592,297,1495.101568
27.896729,500,1513.380749
2.357393,272,1521.518335
2.433508,259,1528.748308
-1.384739,276,1536.096645
8.785239,500,1549.185669
0.317056,248,1556.009398
29.141113,242,1563.221156
-0.133225,56,1564.767445
6.716578,170,1569.493374
0.822161,186,1575.059081
13.445541,190,1581.177455
28.847729,239,1588.860255
2.911361,78,1591.429541
-6.080535,262,1600.698732
29.236195,268,1610.413628
8.081883,116,1615.011247
-0.763618,220,1624.131274
2.858173,110,1628.517663
-1.599268,184,1635.757582
