#{"t_start": 1764605362.1511595, "env_id": "None"}
r,l,t
-0.772424,149,5.434327
-4.124778,160,8.978386
3.400381,101,11.284838
-4.351407,150,14.969606
-4.185421,148,18.763886
-8.156656,5,18.879447
0.071227,137,22.549713
-13.921884,104,25.525384
-10.737476,124,29.165929
-3.867012,138,33.117077
-2.063825,150,39.601384
-4.804471,143,45.674485
-5.967748,148,52.48234
4.733106,174,58.340527
-14.486023,102,62.038857
-2.215526,136,68.842747
-4.422896,125,71.928247
-10.309531,110,74.657184
-10.442209,91,76.935063
4.647319,177,84.042373
-1.895797,176,89.551887
-8.845579,125,92.924886
-5.896119,131,96.397374
-8.793255,125,99.833738
2.495521,184,104.568714
-7.886344,169,109.050973
-10.255425,86,111.200905
-13.803935,87,113.454191
-1.822556,161,118.343965
-9.992101,101,120.807692
-4.534684,137,124.820738
-9.911232,154,131.90206
-5.980108,146,139.767214
-4.634071,142,145.894076
-7.092435,129,151.7937
0.272702,133,157.863199
-5.571871,139,164.134241
-0.24825,160,171.287056
15.113418,188,180.152341
-9.994319,120,187.321971
-3.436746,147,194.814385
-12.56824,94,197.923212
-3.067241,163,204.34426
-3.798893,143,208.679507
-6.285245,18,209.344599
-10.346823,73,212.429451
-6.96607,8,212.694521
2.204242,138,217.480374
-10.401808,110,223.082726
-8.680883,165,231.484026
-3.550504,174,236.423083
-5.206346,149,240.640108
-4.977795,134,245.315761
4.135775,152,249.873366
-1.932071,142,254.546456
-5.805185,202,260.475781
-2.934957,182,265.647614
-5.561739,140,270.733833
6.602265,149,275.1168
-5.29809,191,283.123502
-4.258479,129,288.260921
4.128987,140,293.43402
-0.134043,167,299.026617
-8.296609,105,302.764643
2.861667,172,308.947261
-10.561727,111,312.088974
-1.180257,140,316.152666
-2.319564,178,321.077615
-10.328889,171,326.533636
-4.715896,173,331.908614
-3.562485,155,336.490699
-13.321994,167,341.80977
-12.938728,189,346.46879
-9.63771,189,351.934603
-9.003308,143,355.464306
-4.898139,140,358.607935
-6.614261,123,362.17663
-9.235465,151,366.213138
8.153994,212,372.600177
-9.979045,118,376.256191
-7.61396,205,381.846921
-10.945559,184,386.933033
-8.538643,161,391.752466
-6.702588,147,395.674345
-7.518425,152,400.279833
-7.632738,142,405.969888
3.692098,171,411.773986
-7.583339,145,415.509987
4.443943,165,420.598852
-5.32956,244,427.55855
11.110558,358,442.1893
8.105485,105,449.228427
3.15344,122,457.044633
-9.842755,145,464.129536
-8.372142,136,474.545337
-5.630345,185,487.01182
-2.899143,144,495.851855
2.612414,163,506.233468
-9.45914,140,514.771249
3.594324,492,548.553927
1.111991,158,558.543496
