#{"t_start": 1764605361.8989437, "env_id": "None"}
r,l,t
5.343167,155,5.816676
-15.092192,190,10.078333
-3.996966,131,13.144656
-8.110909,131,16.425689
-2.01316,141,20.070181
-4.466485,147,24.082816
0.402392,157,28.557652
-5.249111,129,32.377473
-5.506816,132,36.345379
-6.329909,139,44.002041
-9.23144,115,48.659718
-9.977227,111,53.513659
6.821986,170,59.546579
-5.651125,161,65.822712
-5.494934,175,71.907843
6.676606,146,75.495646
9.955896,157,79.976708
-5.166999,159,86.293845
-14.391553,76,88.91837
-11.005613,129,92.586806
-0.587656,154,96.680654
-3.174071,157,100.933473
-5.026758,139,104.514299
-1.99911,153,108.576463
-12.651263,152,112.433587
-1.227937,158,117.017471
2.095733,156,121.128021
-4.667696,161,126.550044
-4.053923,131,132.285819
-2.518286,159,140.787302
-4.088162,128,146.271575
-10.265326,148,152.99961
-11.123132,139,159.363091
-7.754745,150,166.099147
-13.989775,157,173.243017
-13.333786,173,181.67876
-6.639336,129,188.882828
-2.606679,141,196.059321
-5.746275,209,203.715327
-4.078853,158,208.684668
-3.842225,131,213.755404
-3.671105,169,220.810814
-4.856982,150,228.844802
-1.265776,157,234.347014
-4.803676,132,237.834132
-14.482301,70,239.915354
-3.436931,138,244.329875
-2.621324,140,248.786598
-6.148764,146,253.493436
-4.264888,171,258.890953
-3.815603,51,260.285931
-9.103477,137,263.749257
-10.971821,76,266.283123
-3.908586,171,272.168858
-5.883568,150,276.858119
-4.651378,155,283.700826
-4.449191,179,290.639279
-4.346561,174,296.520869
-3.787801,161,302.524053
-5.10196,169,308.607347
-15.165812,113,311.823271
-4.212416,141,315.957171
6.048142,112,318.750099
-4.843217,139,322.959426
-10.924564,67,325.439936
-5.378449,153,330.15332
2.784704,191,335.613668
-5.276974,141,340.229192
-4.866048,153,344.287624
-3.161955,194,349.579106
-0.115201,156,353.907206
-9.920697,105,356.390231
4.878114,294,363.972659
-9.712595,123,367.364218
-5.466987,137,371.360753
-14.275522,108,374.888939
-15.334071,126,378.314322
-10.483209,200,384.001796
-8.748749,127,387.459489
-5.960271,144,391.762841
-2.459185,155,395.926561
-6.506165,153,400.56757
-13.938981,126,405.591872
-11.34125,156,411.140594
-7.97348,110,414.105874
-5.80992,190,419.463099
-3.956383,179,424.792274
-7.881016,123,428.282591
-4.975161,194,435.279957
-11.592985,156,443.08028
-7.493177,145,452.728713
0.275871,68,457.024196
-5.533093,175,465.531498
-1.697981,146,477.268334
-9.543664,123,485.435904
-7.877483,145,494.428199
-5.524809,165,505.113419
-4.769029,262,522.786846
-13.789382,142,531.367485
-4.612735,366,556.298116
-15.877579,293,575.325565
-7.698225,131,584.583903
-6.736601,147,593.532128
-5.854097,179,604.281232
12.814565,314,620.61875
-3.387349,162,631.056901
-6.709311,182,641.760023
-9.169866,194,655.478518
6.835083,183,672.125271
-6.126697,150,680.527523
-9.834575,182,691.250004
3.765719,111,697.077547
-8.254301,281,707.33737
-10.622113,172,712.864781
-1.442136,119,716.648121
23.813591,500,731.635819
21.185725,500,746.808764
-5.391516,311,757.059051
-9.673539,134,762.369785
-3.307161,274,773.238101
-9.978951,106,777.172644
19.863875,500,798.178602
-3.920036,310,833.943187
24.680056,500,853.579501
-9.478218,207,860.642128
-1.401125,179,865.990385
-10.032779,101,868.865288
1.325965,340,879.539725
2.138025,207,886.32998
0.286314,289,894.046228
-8.948537,164,898.676142
6.424629,118,902.052755
0.576647,252,909.061918
1.414144,282,918.293276
1.681692,87,920.941336
-9.288456,195,927.010877
-1.626733,242,935.051164
4.87683,287,945.633189
2.285931,179,952.213417
0.888724,335,966.420907
-0.939752,265,976.029399
7.4508,182,982.066327
3.358012,147,986.496581
-8.002125,134,990.372873
3.844165,89,992.928307
26.099782,500,1006.116611
6.856773,148,1009.841576
-0.496607,210,1015.204191
-5.154563,179,1019.895452
1.14017,116,1023.347035
2.431449,273,1030.879288
-1.798846,268,1038.421047
-4.056991,325,1047.998457
26.861685,500,1064.691732
8.480972,249,1073.438453
-4.334916,269,1083.682778
-2.988171,262,1094.468882
4.843671,122,1098.793404
6.261613,113,1102.629141
-3.56604,172,1108.04903
-6.880863,273,1116.083134
1.285812,303,1124.434387
6.099211,167,1128.613803
9.174083,161,1132.739028
4.691313,150,1136.639102
31.519589,433,1148.174932
-1.460955,185,1153.21246
4.157422,245,1160.119273
5.142616,342,1183.919719
3.397925,217,1205.06017
2.872507,189,1220.57559
-2.395558,209,1229.427787
1.890779,261,1238.504775
1.09855,285,1247.531486
-9.995233,130,1251.298373
33.149828,397,1262.272565
-7.61762,109,1265.596611
-3.349596,77,1267.584438
2.0307,290,1274.8759
10.205219,316,1283.182822
24.174094,101,1285.843294
10.035003,280,1293.357348
-8.822982,137,1297.223354
2.302761,115,1300.420741
2.113785,185,1305.896921
12.355267,178,1311.265458
0.38181,121,1314.986428
-7.997607,23,1315.680349
18.765124,230,1323.127617
-1.993181,274,1332.299111
-1.463165,44,1333.818552
0.338113,255,1344.141961
3.088828,441,1361.25024
-1.166081,280,1372.608558
6.21952,154,1378.358957
22.090726,500,1394.534257
-2.517111,234,1400.993646
3.075391,153,1405.152977
1.671792,187,1409.951795
-3.54349,251,1416.438179
-0.16792,275,1423.734207
5.89501,288,1431.591791
10.80141,451,1444.523861
-7.063355,30,1445.353702
27.628432,268,1453.498277
20.246004,500,1469.832548
0.854125,82,1472.752759
-1.646908,179,1479.127506
-4.759284,149,1484.564208
10.891946,256,1494.794836
0.014835,254,1504.898637
28.450339,500,1520.820822
5.93609,154,1525.21371
3.516032,212,1530.96811
2.049468,188,1536.006082
-0.680414,179,1540.579499
11.873551,418,1551.816517
1.768962,324,1560.655571
13.894992,496,1575.357169
6.092122,417,1588.756723
-6.802061,211,1596.066645
4.212049,133,1600.710219
30.202991,283,1610.973748
