#{"t_start": 1764605362.1384814, "env_id": "None"}
r,l,t
-4.236315,139,5.24094
-3.904089,196,9.576398
-6.725836,139,12.850108
4.183054,183,17.421267
-4.549364,135,20.954753
-9.260866,87,23.393571
-2.931284,91,26.022913
-3.34701,151,30.397678
-3.55905,158,35.080996
-3.89308,223,45.464881
-5.823119,138,51.702143
-2.754091,176,57.804735
-8.997251,89,60.982669
-5.486458,164,68.854425
-4.424599,146,72.544954
-1.97799,178,76.880525
-10.621485,68,78.924698
-10.988975,107,83.946326
4.008261,134,87.987935
-6.077082,136,91.965412
-4.189135,165,96.380489
-5.693989,137,100.105359
-4.205836,131,103.517167
-15.320505,101,106.158254
1.520653,153,110.145314
-6.522313,130,113.466869
-4.508227,208,119.605
-6.684188,140,122.943619
-10.87033,68,125.76812
-3.574811,201,135.759024
-3.66815,131,141.873995
-9.263644,138,147.943828
-5.205895,183,156.226748
2.973844,168,163.90173
-1.949264,143,170.292967
-3.57064,163,177.801085
-3.991226,141,185.512411
-8.275614,86,190.087364
0.677621,112,195.868779
-15.522195,113,199.555178
-3.84727,152,205.511849
4.474023,166,210.915719
-14.049391,103,214.66555
-5.568107,150,221.304938
-9.968586,110,227.404928
-3.225383,146,233.093794
-10.078698,78,235.31282
-3.612564,150,239.466756
-10.005856,111,242.459024
-9.660952,93,246.282485
2.041332,151,250.784595
-10.001449,101,253.99498
-10.974446,86,256.928016
-3.797919,170,261.510627
-8.144719,185,267.479743
-2.26451,197,273.757893
-4.632282,141,278.35863
-10.811303,101,283.220706
-10.253533,105,287.346221
11.690927,184,294.10236
-5.211029,149,299.351284
-12.243327,133,303.714122
-4.03922,153,309.37376
6.78663,154,313.878478
-5.268426,135,317.468812
-4.609163,177,322.599891
-5.26459,123,326.598833
-4.411956,159,331.627399
-9.477501,142,335.651718
2.838533,150,340.585164
-2.925811,88,342.951761
-9.343002,119,345.893546
-4.778881,186,351.19747
-4.002146,140,354.808543
-2.464992,173,358.694132
-3.554539,150,363.043784
-12.968968,302,371.580356
-3.973775,235,378.460278
-9.302034,127,382.147301
-5.333573,143,386.002393
-2.862819,177,391.263724
-5.789232,42,392.44172
-2.627581,188,397.392255
-2.325495,184,404.398903
-8.244019,109,408.506966
-14.835222,145,412.868133
2.323141,103,415.440048
-10.58652,121,419.055516
4.427507,143,423.38223
-4.344555,255,430.294798
20.362029,500,458.271706
-6.701163,136,464.716411
12.019588,179,478.618848
-4.180935,224,492.894067
-2.720653,140,501.72423
-4.311892,161,511.709751
-4.634138,145,522.220507
11.38452,500,555.015271
-5.147047,225,569.411678
5.911797,384,594.526634
-5.524386,209,607.323858
-3.611704,214,618.027793
-3.33843,158,627.733209
-5.650567,307,645.894349
6.697047,183,662.562446
7.037428,93,670.167159
-2.761801,193,681.236206
5.85737,294,697.985712
2.802154,318,708.889161
15.974404,194,715.082259
-8.935788,150,719.794416
1.979417,197,725.707498
-8.949288,94,728.353394
-4.67071,227,735.002991
0.475767,175,740.350049
-4.698819,177,745.89854
-8.016778,329,756.717987
-11.112203,123,761.485111
-8.152442,126,766.838661
-2.904057,225,775.347094
12.278277,205,782.870313
-8.927999,172,789.688864
-2.323981,251,802.013092
3.329912,473,844.896549
1.790884,219,852.366414
-6.565091,279,861.733475
4.019251,230,868.332122
6.215191,384,880.292935
16.64164,190,886.514246
-12.805911,223,892.544576
-6.50882,233,898.976344
-10.004252,108,902.089782
-6.514094,194,907.490937
-12.587966,179,912.623279
-9.051655,71,915.015486
-1.203601,221,922.378859
-4.746345,299,931.905826
-2.447877,499,949.996275
0.819795,157,956.056705
4.231805,106,960.83102
6.145974,192,968.787526
-7.584699,214,976.396533
3.635579,198,982.839782
1.735997,97,985.788497
-9.1316,220,992.133184
8.242027,136,995.867485
-9.095094,34,996.839894
-0.072849,277,1004.054808
-7.965447,113,1006.904287
12.617121,388,1016.756651
4.909191,235,1023.381089
23.098939,500,1037.240121
16.35155,500,1052.549158
20.967045,500,1069.431435
0.785929,146,1074.697331
24.889934,500,1094.695134
10.692914,114,1098.61539
-5.560751,26,1099.464007
1.926097,88,1102.504129
1.494583,95,1105.527252
6.481764,411,1117.787779
7.656317,186,1122.808069
2.236976,149,1126.62615
-0.170168,292,1134.070016
1.99944,158,1138.092264
-1.366298,184,1143.162294
-0.993005,158,1147.309227
4.837488,128,1150.754456
3.210516,155,1155.058429
18.233082,500,1183.144528
-8.058789,37,1184.961025
9.180848,331,1218.212122
5.777899,173,1225.606429
3.340401,213,1233.80563
-1.76806,195,1240.45987
2.660821,94,1243.468996
-1.781906,305,1252.320895
22.711415,500,1266.372291
0.960186,206,1271.609119
3.395448,118,1274.534842
0.863562,308,1282.620476
25.593534,500,1296.125999
-7.257769,21,1296.702763
29.942766,500,1311.422951
0.155952,125,1315.262773
30.01597,500,1331.697487
-8.868359,101,1335.387054
-7.360096,34,1337.064615
-2.947512,231,1345.952253
1.941897,193,1353.514139
-0.776185,72,1356.226935
30.876088,236,1365.984208
-0.119678,117,1370.691838
-9.321774,163,1376.867277
-10.219808,195,1383.51099
-1.179807,249,1391.565053
5.740618,202,1397.287054
-9.649309,180,1402.252409
12.511665,382,1412.251896
9.082009,209,1417.60477
4.746096,308,1425.945954
32.252474,393,1436.723079
32.868582,402,1448.622737
0.494215,64,1450.565677
-6.455012,65,1452.504172
26.741304,500,1468.701509
1.378539,281,1478.685529
-2.433369,206,1486.312861
24.077418,101,1490.496785
7.290746,152,1496.50877
9.327857,351,1509.801678
13.214754,500,1524.739128
26.453268,351,1534.271502
4.450313,286,1541.655449
7.000916,152,1545.627312
11.50926,323,1554.481358
29.263215,247,1561.351256
-4.154053,283,1569.647738
21.008848,500,1585.297677
-6.846979,194,1591.637607
7.481546,412,1606.311017
29.721588,272,1616.703243
-2.191717,52,1618.78824
28.262232,235,1628.56668
5.475822,155,1634.756594
18.978819,188,1641.152959
7.460988,199,1647.433603
13.796312,109,1650.665391
11.370459,336,1660.153411
-3.789322,68,1661.960823
22.636717,500,1674.882054
