#{"t_start": 1764605362.0147517, "env_id": "None"}
r,l,t
-8.249257,130,5.201634
-6.117627,32,5.836928
-6.843219,206,10.464208
-2.308995,153,14.120031
-2.818374,149,17.904187
-11.230002,133,21.334916
-4.818692,166,26.11211
-3.598501,155,30.607007
-5.113335,172,35.710987
0.94158,233,47.072207
-3.791203,149,53.398862
-6.303014,130,57.597872
-4.298039,135,62.511094
-10.468459,72,66.049803
-5.298832,144,71.195122
23.259166,101,73.739825
-4.693041,165,77.938805
-9.340546,156,84.430972
1.502219,158,89.377999
-10.959032,77,91.484098
-2.226759,166,95.937564
2.496265,136,99.690116
-6.540581,169,104.058873
-10.587715,94,106.514854
3.886164,166,110.843822
-7.77935,128,114.176715
2.615831,146,118.6071
-11.599804,98,120.986674
-10.999622,100,123.542907
-0.992677,139,129.460178
1.962182,191,139.629735
-2.993659,207,148.737037
-5.843877,112,153.846205
-5.203219,135,160.113486
-4.510625,151,166.879833
-6.963874,165,174.22874
-5.263976,183,183.433579
-9.313866,136,190.769801
-3.785339,138,197.226521
-8.616284,153,203.024378
-10.314142,93,206.249256
-15.130687,137,210.699111
-15.489995,94,214.200106
-3.673258,163,221.163624
-9.94221,115,227.528658
-5.935885,167,233.877234
-4.012021,136,237.510498
-2.375788,159,241.913723
-6.4003,130,246.95491
-3.336844,150,251.453997
-1.339618,141,256.024702
-3.829829,148,260.256133
-1.509256,86,262.396363
-5.243287,156,267.687014
2.822656,148,272.400147
-9.038042,115,275.758349
-6.078831,149,282.350458
11.30862,352,295.392926
-7.394699,142,300.96287
-5.213317,152,305.782838
-9.327353,253,313.872872
-2.977796,164,318.219188
2.985792,164,323.109806
-5.772648,144,327.752503
2.002311,148,332.317583
-4.26325,138,336.391724
-7.68944,160,341.612965
-10.716217,94,343.887843
-11.298869,69,345.565958
1.821613,193,351.030914
6.160713,167,355.318369
-4.152468,158,358.894862
-3.706298,142,363.016462
-5.085833,127,366.395545
-0.398366,152,370.887577
-4.194832,157,375.800822
0.609088,168,380.323856
-3.150134,172,385.134596
-7.783061,107,388.128926
-5.537362,39,389.310834
-7.108712,180,394.494137
-5.133598,229,402.282795
-9.793986,130,406.694436
-5.599828,59,408.946481
-7.903371,119,412.515055
-4.088585,129,415.782912
-4.261812,153,420.515202
-5.213214,282,428.458388
-12.145172,230,437.967695
5.374428,237,451.492161
9.570272,232,464.265944
-5.175801,52,468.19012
-0.78363,329,490.763272
-5.118784,141,499.626115
14.208645,500,532.014545
-6.928912,172,544.097313
-9.701193,167,555.076994
1.451195,288,573.955514
-2.976439,316,594.366741
-12.654175,150,603.580059
-0.885193,191,613.655323
-4.673383,218,625.93528
-6.526357,230,639.951775
8.02019,500,677.358746
-5.170249,266,692.798243
-6.49164,354,706.898992
-9.565615,139,711.413949
10.091443,217,718.252796
-5.471828,229,725.206087
-5.102605,297,733.839941
3.087954,430,747.040328
9.051527,401,761.018656
3.44872,145,766.96239
-3.814199,303,778.141393
1.310069,160,784.369134
-3.027249,216,793.602543
-6.826422,152,801.128441
-3.627137,280,835.820719
17.41679,500,854.53741
-0.903031,408,867.475402
-8.850675,128,871.382225
-9.882318,118,874.98529
1.893828,372,886.872527
-8.567905,129,890.248136
-10.001602,111,893.34198
-1.041893,207,899.100074
-10.005615,101,902.004467
-1.219342,211,907.883031
6.056185,167,912.679
18.161418,500,928.964215
2.940624,143,933.741183
0.739546,169,939.435893
15.611964,500,958.754753
1.968974,250,969.456192
-2.2933,246,978.128497
-0.208298,271,986.576985
-1.283881,188,992.004576
-7.148138,108,995.027007
0.31251,343,1004.055011
-11.704307,134,1007.443732
1.704359,224,1013.033672
-2.245779,224,1018.883414
-9.15767,129,1022.706632
0.294514,142,1026.595953
-1.544259,281,1034.406353
3.15982,161,1039.008038
-2.726593,174,1044.052274
-9.947704,111,1047.366726
0.769123,106,1050.732496
21.579124,378,1063.463709
4.37525,201,1070.43616
-0.27121,122,1074.821061
0.023049,123,1079.286711
11.397965,500,1099.028613
-0.125824,229,1106.554679
-8.01225,172,1111.671713
-5.303844,50,1113.127977
-1.274861,237,1120.119559
-3.368027,140,1123.760309
2.265,123,1126.889401
-6.304754,154,1130.746198
-0.773332,178,1135.40758
11.782708,500,1148.638036
-5.951943,153,1152.818606
10.997251,255,1160.003465
1.620952,256,1177.680328
-6.412205,55,1182.207735
2.627525,170,1197.657291
4.122051,381,1225.304621
1.529489,160,1231.577275
29.448435,305,1242.156958
4.008886,123,1245.852184
23.612854,101,1248.820713
-10.045916,51,1250.325789
-8.321909,275,1257.789409
-9.439399,264,1265.541321
-8.708059,212,1270.925039
27.794658,500,1283.836132
0.98586,61,1285.492919
1.545675,281,1293.026489
10.155198,257,1300.212926
-3.043831,186,1305.706599
